"protein_group","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_A_vs_B","differential_abundance_qvalue_A_vs_B","log_ratios_A_vs_B"
"Q6XQN6",NA,NA,NA,-23.7516067099,NA,NA,1,NA,NA,2,1,1,NA,NA,NA
"Q6Y7W6",NA,-23.6029874771,-22.4644378208,-23.7552517799,-22.3849655326,-21.5971303492,8,6,10,9,8,10,0.367762197145702,0.789623312011372,-0.454596761716669
"Q6YN16",NA,NA,-22.4950883222,NA,NA,NA,3,1,4,1,2,5,NA,NA,NA
"Q6YP21",-22.9436186239,-22.0191028952,-21.5401813793,-21.935183236,-21.9627659436,-21.4195206248,3,6,4,4,4,7,0.340647195486226,0.767816091954023,-0.395144364666667
"Q6ZN17",-21.3408931957,-21.0809300316,-21.4861108863,-20.8823537165,NA,-21.3484983629,4,6,6,4,7,6,0.587913541320943,0.867326732673267,-0.187218664833338
"Q6ZSJ8",NA,NA,NA,NA,-20.9113418599,NA,1,1,2,1,2,NA,NA,NA,NA
"Q6ZT12",NA,NA,NA,NA,-25.4845062225,-25.8006961228,1,NA,3,NA,2,1,NA,NA,NA
"Q6ZWL3",-23.2783094697,-26.1152732213,-24.1152301184,-22.7855204439,-23.9073355567,-23.9385303307,20,19,23,25,27,22,0.0936106870229008,0.494208494208494,-0.959142159366664
"Q70CQ2",NA,NA,NA,-25.952086401,NA,NA,2,1,1,3,1,2,NA,NA,NA
"Q70J99",-22.16171092,-21.291491929,-21.1633795156,-21.4001187528,-21.3288392105,-20.6372454906,12,11,17,14,15,16,0.307212744772652,0.740740740740741,-0.416792970233335
"Q71RC2",-22.8068172848,-23.5830696679,-23.283805226,-22.8755348194,NA,-23.5402181137,7,6,6,5,3,5,0.939863757052771,0.96417604912999,-0.0166875930166697
"Q75N03",NA,NA,-22.4898531628,NA,NA,-22.507049819,NA,NA,2,1,NA,1,NA,NA,NA
"Q76EJ3",NA,-23.474657275,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"Q76FK4",NA,NA,-24.7102010542,-23.5574974755,-24.3887523593,-23.4260439763,7,3,5,9,4,7,NA,NA,NA
"Q7KZ85",-22.6271711074,-23.9788831292,-22.7398536006,-22.3520300232,-22.1842983344,-22.7771068514,11,6,16,9,10,10,0.136120146033853,0.530551415797317,-0.677490876066667
"Q7KZF4",-19.0234047705,-18.9197085921,-19.2797447659,-18.9706787451,-19.0327937968,-19.1920597931,53,57,45,52,54,57,0.953363093262529,0.967556606961811,-0.00910859783333251
"Q7L014",-20.4716823292,-20.796095939,-20.4822505615,-20.4881008809,-20.564466801,-20.4986915814,22,21,27,26,23,32,0.821348323929638,0.932222642938281,-0.0662565221333331
"Q7L0Y3",-21.5359936982,-21.6810951537,-20.7043374999,-19.8177336338,-21.5762044885,-21.1092400084,9,13,10,12,11,10,0.29809293063392,0.730866274179983,-0.47274940703333
"Q7L1Q6",-22.6032130322,NA,NA,NA,NA,NA,9,7,9,12,6,14,NA,NA,NA
"Q7L2E3",-23.1882178558,-22.4693740381,-22.97808582,-23.5293038007,-23.3328457115,-23.7243221445,17,20,16,20,20,23,0.112705277132426,0.50990099009901,0.6502646476
"Q7L2H7",-18.7997673034,-19.4244861091,-18.5400207588,-19.4029863292,-18.6855663338,-18.8233518121,20,16,23,16,19,21,0.873303849983405,0.949728752260398,0.0492101012666666
"Q7L2J0",-22.8051235091,-22.6839455688,NA,-24.1666306877,-22.270341997,-22.492995924,5,6,5,6,5,5,0.601962993693993,0.880975609756098,0.23212166395
"Q7L4I2",-22.6517816526,-22.5566347474,-23.0075006002,-22.6577982495,-22.5760184482,-22.598930601,1,1,2,3,2,2,0.689829903750415,0.913254073095553,-0.127723233833333
"Q7L576",NA,-24.4466367804,-23.741045839,-23.7157318122,-25.2101878682,-22.9548423137,6,7,6,12,7,12,0.760578825091271,0.928516228748068,-0.133587311666666
"Q7L5D6",-21.5534387608,NA,NA,-21.1569643833,-22.3738451719,-22.5058292008,5,2,4,8,6,4,NA,NA,NA
"Q7L5N1",-21.0870290371,-21.9707411041,-20.8240320341,-21.8077596436,-21.1583892629,-21.7449130142,3,4,4,4,6,3,0.478149518752074,0.829525483304042,0.276419915133335
"Q7L5Y9",NA,NA,-23.2274543302,NA,NA,-22.9065425128,1,2,3,2,1,2,NA,NA,NA
"Q7L775",NA,NA,-22.6387630084,NA,NA,-23.8602456738,1,1,2,2,1,3,NA,NA,NA
"Q7L9L4",NA,NA,NA,NA,-22.1506771083,-20.9542294009,2,7,6,5,5,7,NA,NA,NA
"Q7LBC6",-23.5735769482,NA,NA,-24.292230382,-24.0643955139,-24.250262907,7,8,5,7,9,4,NA,NA,NA
"Q7LGA3",-22.3648758645,NA,-22.6343454497,-22.4586716466,NA,-22.5968352149,1,NA,1,1,NA,1,0.909675738466645,0.957336108220604,0.02814277365
"Q7RTV0",-19.0770634223,-19.6041098195,-19.6145352665,-19.8687730614,-19.3426434832,-19.7304249618,7,7,8,5,6,8,0.541593760371723,0.85872430152873,0.215377666033334
"Q7Z2T5",-22.3457676355,-23.4328011061,-22.0221760768,-22.5711693652,-22.2304817401,-21.6569687864,4,4,5,5,3,8,0.300404248257551,0.733445096395641,-0.447374975566667
"Q7Z2W4",-21.1298282469,-21.628531679,-20.6913855278,-20.8190946384,-21.2570487952,-21.2615003325,17,15,19,21,18,19,0.895649352804514,0.955239786856128,-0.0373672292000009
"Q7Z2W9",NA,NA,-21.0213271678,NA,NA,-21.8401666922,NA,NA,3,NA,1,1,NA,NA,NA
"Q7Z3B4",-21.4271218073,-20.8222389683,-21.4875642833,-19.8898937425,-21.078376968,-20.9043268703,12,12,9,13,10,12,0.158543146365748,0.568364611260054,-0.621442492700002
"Q7Z3K3",NA,-23.4941007614,-23.0255111139,-22.981170563,-22.968341025,-23.1039151255,5,7,7,10,6,7,0.484842847660139,0.830133798720186,-0.24199703315
"Q7Z3U7",-25.4042066133,NA,NA,-25.158272053,NA,NA,4,3,3,4,3,4,NA,NA,NA
"Q7Z417",-23.701053583,-23.4940899524,-21.6384452825,-22.6979677507,-24.2644150448,-22.3307496656,4,3,5,5,5,6,0.732644540325257,0.928516228748068,0.153181214399996
"Q7Z434",-23.7675340031,NA,NA,-23.6680371179,NA,-23.5257519788,3,2,3,2,1,3,NA,NA,NA
"Q7Z460",NA,-25.5179969976,-24.1167125351,-22.2255449126,-23.0613058607,-24.0085922478,5,2,7,11,11,5,0.00918835048124792,0.15,-1.71887375931667
"Q7Z478",-24.5604847905,-24.555388259,NA,-24.6487328692,NA,-24.8734139686,5,3,3,5,NA,5,0.537475439761036,0.85872430152873,0.203136894150003
"Q7Z4H3",-20.8854651692,-20.0743224371,-20.0655513836,-22.1143268973,-19.8654933271,-20.2005247122,5,5,6,3,6,5,0.40837786259542,0.796742671009772,0.385001982233334
"Q7Z4Q2",NA,NA,-23.9719983932,NA,NA,-24.3434334512,2,1,3,2,1,2,NA,NA,NA
"Q7Z4S6",NA,-24.2239384364,NA,NA,NA,-24.8535863506,NA,1,NA,0,NA,1,NA,NA,NA
"Q7Z4V5",-23.11851428,NA,NA,NA,NA,-23.116151047,4,NA,3,6,4,4,NA,NA,NA
"Q7Z4W1",NA,-19.8768559729,-20.320358232,-21.3854011322,-20.3058982552,-20.9506322916,6,6,7,8,7,4,0.0912263524726186,0.481335952848723,0.782036790549999
"Q7Z569",NA,NA,NA,-23.5204344613,-23.5825853651,NA,NA,0,1,2,2,3,NA,NA,NA
"Q7Z5K2",NA,-23.3403055732,-23.302750333,NA,-24.375104611,-23.1973184037,3,2,7,6,4,9,0.301206106870229,0.735564853556485,0.464683554250001
"Q7Z5L9",-21.7514163343,NA,NA,-23.9299477433,NA,-22.3520511649,6,2,4,6,5,8,NA,NA,NA
"Q7Z6E9",-24.7571692774,-23.5007534017,-25.0025585233,-23.8223533658,-24.7748359271,-23.8160744328,9,8,8,8,6,7,0.500730667109193,0.834929577464789,-0.282405825566666
"Q7Z6M1",NA,NA,NA,NA,NA,-22.7371120278,1,NA,NA,NA,1,2,NA,NA,NA
"Q7Z6Z7",-22.6334733775,-23.0293719484,-23.046287924,-22.1251152169,-22.5239983248,-22.9390965606,27,25,29,35,31,35,0.3270290408231,0.75511811023622,-0.373641049200003
"Q7Z739",-22.2236706992,-23.0299966401,-23.0911273038,-23.1920666689,-23.1489001257,NA,4,4,4,5,5,3,0.32996515101228,0.759375,0.388885182933333
"Q7Z7C8",NA,NA,NA,NA,NA,-22.6011291844,1,1,1,2,1,1,NA,NA,NA
"Q7Z7F7",NA,NA,NA,-21.0969354259,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA
"Q7Z7K0",-20.7194767949,NA,-20.8751029714,-21.1428584591,-20.6346104423,-19.9030832761,3,NA,2,1,2,2,0.550410222369731,0.859749739311783,-0.237105823983335
"Q7Z7K6",NA,NA,NA,-22.686897399,-22.4052303115,NA,4,3,1,6,4,3,NA,NA,NA
"Q7Z7M9",NA,NA,NA,-24.2956683217,NA,NA,1,2,2,2,NA,NA,NA,NA,NA
"Q86SX6",NA,-19.6667342847,-19.6986059737,-19.47537477,-19.073317139,-21.7249884197,3,5,6,4,5,4,0.43593893129771,0.808277541083384,0.408556647033336
"Q86U42",-21.2912485598,-20.7364400315,-21.0206570404,-21.3446495487,-21.3064929422,-20.9337429856,5,4,4,4,5,5,0.5983139727846,0.877330716388616,0.178846614933331
"Q86U44",-23.3236921821,NA,-23.1711024652,-21.9638905241,-23.207100768,-23.3923128806,1,1,2,4,2,1,0.368566213076668,0.789623312011372,-0.392962599416666
"Q86U70",-22.9231335448,NA,-22.8785939991,-21.3573299399,NA,NA,4,1,3,3,2,NA,NA,NA,NA
"Q86U90",-20.7232843059,-20.6741889657,-20.2414331396,-19.9540761177,-21.387379367,-20.2348448252,4,5,5,7,6,4,0.933414868901427,0.961829436038514,-0.0208687004333328
"Q86UA1",-23.854149697,NA,NA,NA,NA,NA,3,2,NA,1,2,NA,NA,NA,NA
"Q86UE4",-23.3322055262,-23.5545314623,NA,-23.4437057608,-23.1622566995,-23.4291761764,5,3,NA,3,4,6,0.750309160305344,0.928516228748068,-0.0983222820166709
"Q86UK7",-22.6959270924,-21.7761494623,-21.5111150629,-22.0966770839,-20.8281074809,-21.7593058116,5,7,8,6,10,5,0.316979422502489,0.752198241406875,-0.433033747066666
"Q86UP2",-23.2657733294,-25.2784189604,-22.5539835229,-23.5907296526,-24.4295715057,-23.4842772124,9,11,13,13,14,15,0.755759541984733,0.928516228748068,0.135467519333332
"Q86UV5",-22.8014096444,-23.4027164373,-24.274804461,-23.2515503606,-24.3590955686,-24.563876552,7,8,6,6,5,6,0.223202787919018,0.661375661375661,0.565197312833334
"Q86UX7",-19.9207417923,-20.5102910602,-20.1040303666,-19.880260156,-19.7439024142,-19.8202748554,21,17,21,24,19,20,0.316522734815798,0.752198241406875,-0.363541931166665
"Q86UY5",NA,NA,-23.1223701889,-22.3603444711,-23.0384106844,-23.1845526366,1,NA,1,2,1,1,NA,NA,NA
"Q86V48",NA,-24.7211747187,NA,NA,NA,NA,1,2,NA,2,2,1,NA,NA,NA
"Q86V81",-19.8580067269,-19.1503379541,-20.6959730346,-20.7822965722,-19.8152199672,-20.098553377,6,8,7,7,8,9,0.431592598738799,0.808277541083384,0.330584066933334
"Q86VM9",-22.8453662456,-22.548571407,-23.0014326639,-23.0154856296,-22.0157265165,-22.0141327098,8,9,7,7,9,7,0.270392631928311,0.714036617262424,-0.450008486866668
"Q86VP6",-20.9544066962,-20.9388993994,-20.9167034267,-20.2719541763,-21.0559424725,-20.8146282126,29,32,31,34,35,36,0.529274311317624,0.854899837574445,-0.222494886966665
"Q86VX2",NA,NA,NA,NA,NA,-22.5616411938,NA,NA,NA,NA,NA,3,NA,NA,NA
"Q86W42",-21.163471,-21.3808956189,-21.3279320435,-20.6138418876,-20.5571491489,-20.4640918363,5,4,6,7,6,7,0.0593106538333886,0.411167512690355,-0.745738596533332
"Q86W50",NA,NA,NA,NA,NA,-23.8806887885,NA,2,3,NA,2,2,NA,NA,NA
"Q86W56",-23.070680357,-22.623405777,-23.1178078697,-24.2610204924,NA,-24.3543554555,3,3,6,4,6,5,0.00591752406239628,0.118811881188119,1.37038997271667
"Q86WB0",-21.869888722,-21.7823041925,-20.6873667957,-21.2739582833,-23.0489899036,-21.0015046409,6,5,11,11,6,9,0.472771656156655,0.827893175074184,0.328297705866667
"Q86WJ1",NA,NA,NA,NA,NA,-24.0949456802,2,1,1,1,NA,2,NA,NA,NA
"Q86WX3",-21.2487337864,NA,NA,-21.4006383486,-21.204711165,NA,1,1,NA,1,1,NA,NA,NA,NA
"Q86X55",-21.9513474645,-21.8251723075,-21.7095469938,-22.9594233224,-22.8858104607,-21.6439411709,7,7,7,5,6,9,0.135324925323598,0.528358208955224,0.667702729399998
"Q86XI2",-24.0906179224,NA,-23.5279642601,-22.6475735393,-24.3651820284,-23.5155330334,3,2,2,4,4,3,0.49654364420843,0.834090909090909,-0.299861557549999
"Q86XP3",-20.9514303684,-21.4344109217,-21.2365341938,-20.842507959,-21.449852052,-22.0734618469,15,17,16,19,19,18,0.517224195154331,0.848170398689241,0.247815458000002
"Q86Y56",-21.8373160693,-23.7749250505,-20.8692201328,-21.3345228998,-21.8112151011,-20.933294401,9,6,16,13,12,15,0.142905409890475,0.545454545454545,-0.800809616900001
"Q86Y82",-21.5281834577,NA,NA,NA,NA,NA,1,NA,NA,2,1,2,NA,NA,NA
"Q86YP4",-22.7221314546,NA,NA,-21.5636807008,NA,NA,14,4,10,12,9,10,NA,NA,NA
"Q8IU81",-23.5018184317,NA,-23.5532084073,-23.5183161215,-23.5481133494,-22.0281613342,5,5,4,8,7,9,0.286087952207103,0.717372515125324,-0.495983151133334
"Q8IUF8",-21.9464070183,-23.2289668649,-22.183228029,-21.8640277248,-22.0289181166,-23.1688024027,2,2,4,2,3,2,0.794012612014603,0.928516228748068,-0.0989512226999985
"Q8IUH3",NA,NA,NA,NA,-22.9401801015,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"Q8IUI8",NA,-22.8674740518,-22.8820799456,-22.6279256665,-22.7129932325,-22.9111685914,5,4,4,3,4,5,0.69292731496847,0.915536105032823,-0.124081168566665
"Q8IUR7",NA,NA,NA,NA,-24.0661052056,NA,2,1,2,1,3,4,NA,NA,NA
"Q8IV08",NA,NA,NA,-23.3884098563,NA,NA,1,NA,2,1,1,1,NA,NA,NA
"Q8IV38",NA,-22.3345819564,-22.2525728835,NA,NA,NA,2,5,8,5,1,2,NA,NA,NA
"Q8IVD9",-22.4379460983,NA,-21.6574967769,NA,-22.4104146964,NA,1,2,3,2,5,2,NA,NA,NA
"Q8IVI9",NA,-22.4074443182,-22.57950837,NA,NA,NA,3,3,3,3,1,1,NA,NA,NA
"Q8IVM0",-22.4243440638,NA,-22.5665808941,-22.412619793,-21.4099053795,NA,1,1,1,3,2,1,0.195495851310986,0.633605600933489,-0.584199892699999
"Q8IWA0",-21.7145370963,-22.002775289,-22.4833375366,-20.8766023729,-23.3449508263,-21.1428645345,8,12,8,16,10,12,0.547244440756721,0.859749739311783,-0.278744062733335
"Q8IWB7",-22.4284227982,NA,-23.352281013,-22.7208115772,-22.4814716969,NA,2,1,2,1,1,NA,0.474880185861268,0.829525483304042,-0.289210268550001
"Q8IWD4",NA,-22.5435499809,NA,NA,NA,-23.1921081612,NA,2,NA,NA,NA,1,NA,NA,NA
"Q8IWJ2",-24.3731548908,NA,NA,-25.5918127609,-24.2963125057,NA,7,2,2,5,6,2,NA,NA,NA
"Q8IWS0",-20.5095490038,-20.7509516578,-21.7913644283,-21.2165360323,-20.444824996,-20.567533402,5,5,6,6,8,7,0.492547958845005,0.833523375142531,-0.274323553200002
"Q8IWT0",NA,NA,NA,NA,NA,-20.959439404,2,NA,1,1,NA,2,NA,NA,NA
"Q8IWX8",-21.4089878356,-20.603213909,-20.9468857341,-20.8952353851,-21.4009076046,-21.3648586854,12,10,17,11,13,16,0.520483737139064,0.848170398689241,0.233971398800001
"Q8IWZ3",-24.0507029887,-24.1898083394,-23.4134840947,-24.4218269995,-24.0197621476,-23.1206269538,11,14,15,9,7,14,0.914622801194822,0.957336108220604,-0.0305931072999996
"Q8IWZ8",-23.4638791402,NA,NA,NA,-22.4379504309,-23.3545147176,4,2,2,2,3,4,NA,NA,NA
"Q8IX01",-24.177366432,-23.4712054862,NA,-24.5921208137,-24.2665564834,-24.4592561481,5,3,2,5,6,8,0.138446398937936,0.535190615835777,0.615025189299999
"Q8IX07",NA,NA,NA,NA,-24.7955636961,NA,2,3,2,3,2,1,NA,NA,NA
"Q8IX12",-21.9792590528,-20.7378318842,-22.4212363076,-21.5490812677,-21.4403834633,-21.7678667262,13,16,16,17,17,18,0.73790690341852,0.928516228748068,-0.126998595799996
"Q8IX90",-22.9253847985,-21.3122447652,-22.1555279573,-21.8662196009,-21.3094766689,-21.9937543983,6,6,3,3,5,5,0.339921174908729,0.767816091954023,-0.4079022843
"Q8IXH7",NA,-22.4297510094,-23.3391146393,-23.4790632629,-22.8285458023,-23.3664170067,1,5,2,4,4,5,0.397882177231995,0.796742671009772,0.340242532950001
"Q8IXI1",-22.3128868398,-21.1334395321,-21.2226359302,-21.0111447675,-21.201568672,-21.0824850216,7,9,12,11,11,11,0.268285761699303,0.714036617262424,-0.457921280333334
"Q8IXI2",NA,NA,NA,-23.7848951117,NA,-23.9750264162,1,1,2,1,1,2,NA,NA,NA
"Q8IXK0",NA,NA,NA,-24.5068616086,NA,NA,3,3,3,5,2,3,NA,NA,NA
"Q8IXM3",NA,-21.4513922844,NA,NA,NA,NA,2,3,1,1,3,3,NA,NA,NA
"Q8IXQ4",NA,-22.563511435,-22.7741958269,NA,NA,NA,2,1,3,2,1,NA,NA,NA,NA
"Q8IXT5",-22.1322232962,-22.5390825535,-23.8460808728,-22.0577000396,-23.1238308454,-22.4904374792,8,10,7,10,12,5,0.508731662794557,0.842339832869081,-0.281806119433334
"Q8IY22",-23.0618861361,NA,-23.3682492781,-22.9200156882,-23.1476466058,-23.3665995035,2,1,2,1,1,2,0.820096747427813,0.932222642938281,-0.0703137745999989
"Q8IY33",-24.3788346651,NA,-23.1796658998,-23.5670803068,NA,-23.1950631299,1,NA,3,1,NA,1,0.37233139727846,0.789623312011372,-0.3981785641
"Q8IY37",-23.6478503737,NA,NA,NA,-24.2854718479,-24.2631315709,4,1,2,2,2,4,NA,NA,NA
"Q8IY67",-21.2579524437,-21.2040316988,-21.9442144202,-21.4211460839,-21.3586043533,-21.6268445327,6,7,9,9,8,9,0.974269000995685,0.971457019581812,0.00013213573333104
"Q8IY81",-21.0835016451,-20.6344036716,-20.7299789053,-20.9072630704,-20.5687294442,-21.2216999323,12,14,17,16,13,13,0.794837537338201,0.928516228748068,0.0832694083000014
"Q8IY95",NA,NA,NA,NA,-22.4205619051,-22.5161776636,NA,NA,1,2,2,2,NA,NA,NA
"Q8IYB3",-22.6727032108,-21.6704204435,-22.3069511716,-22.0522249338,-21.8315290691,-22.6456549841,10,11,12,11,10,10,0.892652339860604,0.955096222380613,-0.0402219463000009
"Q8IYB8",-22.5611151751,-22.0509296638,-22.6490740086,-21.9840716057,-22.3414636138,-22.1795115641,8,7,8,8,8,12,0.475481081978095,0.829525483304042,-0.252024021299999
"Q8IZ21",-23.5550426707,NA,-23.8469347897,NA,-22.460273524,-22.4422159357,1,1,2,3,2,3,0.00839445735147693,0.141592920353982,-1.24974400035
"Q8IZ69",-20.4496489957,-20.7886937974,-20.7791258664,-21.4995291994,-20.9893122966,-21.4129690494,16,16,17,10,13,17,0.115341022236973,0.50990099009901,0.628113961966669
"Q8IZ73",NA,NA,-22.4816903766,-22.1214960077,-21.7942505037,-22.1954522206,2,NA,4,4,7,7,NA,NA,NA
"Q8IZH2",NA,NA,NA,-24.6218057846,NA,NA,1,1,1,2,NA,NA,NA,NA,NA
"Q8IZL8",-21.6512384101,-22.1751408335,-22.4752471329,-22.150119533,-22.0092361297,-22.4787117561,11,8,12,13,10,8,0.739033687354796,0.928516228748068,0.112147014100003
"Q8IZP0",-22.9500582233,-21.7609503029,-21.8822774394,-22.7380599112,NA,-22.6217989734,2,5,4,3,3,3,0.26862512446067,0.714036617262424,0.482167453766667
"Q8IZQ5",NA,NA,NA,NA,-20.8282587057,-19.5174363084,2,1,3,3,3,5,NA,NA,NA
"Q8N0X7",-23.2142688644,-22.4799445616,-24.0471043214,-22.2342555697,NA,-22.7350666897,5,3,3,6,3,4,0.12115399933621,0.5136,-0.762444786099998
"Q8N108",NA,-23.1627433136,-22.7519009348,-23.1250708596,NA,-23.4232808026,NA,4,7,5,4,4,0.390272817789579,0.795595320027529,0.316853706900005
"Q8N122",-23.8308988241,NA,NA,NA,NA,NA,2,3,3,4,3,3,NA,NA,NA
"Q8N163",-21.2244804905,-20.1302146195,-20.4037620996,-20.800979445,-20.5680949786,-20.9818833374,17,22,21,18,20,20,0.590752240292068,0.868577075098814,0.197500183799999
"Q8N183",-22.0010627737,NA,-21.7384099563,NA,-20.7300093151,NA,4,4,2,3,4,5,NA,NA,NA
"Q8N1F7",-20.9726138427,-20.9580246061,-20.9277291031,-21.1848213203,-20.8062893903,-21.0458211226,23,24,27,23,26,29,0.836655492864255,0.936002994011976,0.0595214271000017
"Q8N1G2",NA,-24.5498935732,-24.2582039631,-23.0112740742,NA,-22.6234404627,7,9,8,8,4,10,0.00304248257550614,0.0677966101694915,-1.5866914997
"Q8N1G4",-19.6888573237,-19.7039753902,-19.9379394729,-20.156518331,-19.7635771642,-19.7542641006,17,21,24,20,24,24,0.719294225024892,0.927234042553192,0.114529136333335
"Q8N1W1",NA,NA,NA,NA,NA,-25.4397793627,NA,NA,NA,NA,NA,1,NA,NA,NA
"Q8N201",-25.6356134934,-25.2773208823,-24.4889874278,-25.6875196043,NA,-25.5316538944,3,3,3,3,5,7,0.263921838698971,0.714036617262424,0.475612814849999
"Q8N2F6",NA,-21.834560788,-22.5595912095,NA,NA,-22.6207343501,NA,4,1,NA,2,3,NA,NA,NA
"Q8N357",NA,-22.3774491945,-22.805052785,-22.6513994654,NA,-22.8122641945,1,1,1,1,1,1,0.677366910056422,0.913254073095553,0.140580840199998
"Q8N3C0",-25.3117798965,NA,-25.6010546137,NA,NA,NA,5,NA,2,NA,3,5,NA,NA,NA
"Q8N3D4",NA,NA,-25.0025506391,NA,-24.9929943331,-24.8752282034,1,1,3,NA,3,4,NA,NA,NA
"Q8N3U4",-24.499638783,-24.0786169556,-24.3776111439,NA,-24.0253566523,-23.6709013019,7,7,9,10,6,8,0.220072021241288,0.661375661375661,-0.470493317066669
"Q8N3X1",NA,-22.9170037962,-23.2004317265,-23.2381044428,-22.1627871323,-22.7167750149,7,7,6,6,9,7,0.380755393295719,0.79521463757917,-0.352828898016664
"Q8N4P3",NA,NA,NA,-21.34533282,NA,NA,1,1,NA,2,1,1,NA,NA,NA
"Q8N4Q1",-19.3057231134,-19.1760781541,-18.6395922987,-20.7390078847,-19.4291407493,-19.1986366617,4,5,6,4,5,5,0.113281447062728,0.50990099009901,0.748463909833333
"Q8N543",-22.8079057763,-22.1996294575,-22.9888717187,-21.5374153931,-22.175224746,-22.4027932292,2,4,4,7,4,7,0.143220378360438,0.545454545454545,-0.626991194733332
"Q8N5C7",NA,NA,-22.42959406,-22.0726562062,NA,NA,1,1,1,1,NA,1,NA,NA,NA
"Q8N5F7",NA,NA,NA,-22.9369236647,NA,NA,3,3,NA,2,2,3,NA,NA,NA
"Q8N5I9",NA,NA,NA,-21.8944098297,NA,-21.5260246352,NA,NA,NA,2,NA,2,NA,NA,NA
"Q8N5K1",NA,NA,NA,-21.1884163591,-20.8922181873,-20.9389261841,1,NA,NA,1,2,2,NA,NA,NA
"Q8N5M4",-21.0536304139,NA,NA,NA,NA,NA,2,2,4,2,1,3,NA,NA,NA
"Q8N5N7",NA,-21.7195526883,-21.180933619,-21.309704306,NA,-20.6355861473,2,2,3,4,NA,4,0.260070859608364,0.714036617262424,-0.477597926999998
"Q8N5P1",NA,-22.8133693249,NA,-23.2966065575,NA,NA,NA,2,NA,2,1,NA,NA,NA,NA
"Q8N684",-21.1968432855,-23.1429078244,-21.6345452631,-20.8421314374,-21.1323212836,-23.2322992118,8,9,7,10,9,9,0.59452041154995,0.8732741617357,-0.255848146733335
"Q8N6H7",-21.4603783175,-21.854208125,-21.8731203477,-21.7176901445,NA,-21.8310700749,6,8,7,4,7,6,0.873167109193495,0.949728752260398,0.0451445129666688
"Q8N6M0",-21.9497387074,-22.3240301347,-22.1263011727,-22.0637404972,NA,-22.0869628167,2,2,3,4,2,3,0.841817623630933,0.939970171513796,-0.05800501465
"Q8N6N3",-21.8429612407,NA,NA,NA,-22.1242422758,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"Q8N6R0",-21.5809549135,-21.756119731,-22.2193898228,-22.8177292204,-21.6226004574,-21.4738027289,8,8,8,7,7,8,0.746431297709924,0.928516228748068,0.119222646466667
"Q8N6T3",NA,NA,NA,NA,-22.2540735169,NA,1,2,1,3,4,6,NA,NA,NA
"Q8N7H5",-23.6328277951,-22.1129991781,-20.9265499392,-21.8011320183,NA,-21.6236566977,11,9,11,9,7,9,0.335368735479588,0.762199845081332,-0.51173127946667
"Q8N806",NA,-22.7225844219,NA,NA,-22.7375859672,-22.9501940759,2,2,2,3,1,1,NA,NA,NA
"Q8N8A6",-22.2259322468,-23.6365034048,-22.4699014912,NA,-22.3054239611,NA,3,3,5,4,3,3,NA,NA,NA
"Q8N954",-21.9152582574,NA,NA,-22.0200033342,-22.5673357352,NA,3,1,1,3,2,NA,NA,NA,NA
"Q8N9N8",-20.9509544979,-19.753026225,-19.7899729237,-20.4263618707,-20.578077465,-20.9809518839,2,4,4,2,6,3,0.242975273813475,0.696127110228401,0.497145857666666
"Q8N9T8",-21.7688575336,-21.9457080113,-22.6801931531,-21.8351689142,-22.0666745504,-22.5861954336,4,5,3,3,4,6,0.910412379688019,0.957336108220604,0.0310934000666663
"Q8N9Z2",NA,NA,NA,NA,-21.9937388765,NA,NA,1,NA,2,2,2,NA,NA,NA
"Q8NAV1",-22.5235136435,-22.2459070149,-20.8542229429,-22.6116865962,-22.1838366064,NA,4,7,6,4,5,6,0.271359442416196,0.714036617262424,0.523213734199999
"Q8NB37",-20.4431077447,NA,NA,-20.9157928624,-21.5918730968,NA,3,NA,1,2,3,1,NA,NA,NA
"Q8NB90",-22.3928083406,-22.8996674902,-22.1711167383,-23.1966334136,-24.5228039959,-22.6961505908,9,9,9,7,4,10,0.056167441088616,0.40495867768595,0.983998477066667
"Q8NBF6",NA,NA,NA,-22.8160919638,-23.5614672385,NA,1,2,2,3,2,3,NA,NA,NA
"Q8NBJ5",-23.7634667235,NA,-22.5636759821,-22.8949322209,-22.0847679899,-23.3274818341,4,5,5,6,7,3,0.380192665117823,0.795070422535211,-0.394510671166664
"Q8NBN7",-20.8193906635,-20.6003352294,-21.4055107041,-21.5587447608,-21.3021476044,-21.3529074599,7,6,7,5,8,7,0.23537222037836,0.683467741935484,0.462854409366667
"Q8NBS9",-21.0963411362,-21.1803901292,-19.9730292678,-20.5211170204,-20.130924082,-19.9527954857,12,12,12,13,15,12,0.204263856621308,0.648190045248869,-0.548307981699999
"Q8NBT2",NA,NA,NA,-21.8437254211,NA,-21.0291819812,2,2,NA,2,1,2,NA,NA,NA
"Q8NBX0",NA,-22.5666074261,-22.6055541084,NA,NA,NA,2,1,1,1,1,2,NA,NA,NA
