"protein_group","number_of_peptides_12500.amol_1","number_of_peptides_12500.amol_2","number_of_peptides_12500.amol_3","number_of_peptides_125.amol_1","number_of_peptides_125.amol_2","number_of_peptides_125.amol_3","number_of_peptides_25000.amol_1","number_of_peptides_25000.amol_2","number_of_peptides_25000.amol_3","number_of_peptides_2500.amol_1","number_of_peptides_2500.amol_2","number_of_peptides_2500.amol_3","number_of_peptides_250.amol_1","number_of_peptides_250.amol_2","number_of_peptides_250.amol_3","number_of_peptides_50000.amol_1","number_of_peptides_50000.amol_2","number_of_peptides_50000.amol_3","number_of_peptides_5000.amol_1","number_of_peptides_5000.amol_2","number_of_peptides_5000.amol_3","number_of_peptides_500.amol_1","number_of_peptides_500.amol_2","number_of_peptides_500.amol_3","number_of_peptides_50.amol_1","number_of_peptides_50.amol_2","number_of_peptides_50.amol_3","differential_abundance_pvalue_X125.amol.12500.amol","differential_abundance_pvalue_X250.amol.12500.amol","differential_abundance_pvalue_X2500.amol.12500.amol","differential_abundance_pvalue_X25000.amol.12500.amol","differential_abundance_pvalue_X50.amol.12500.amol","differential_abundance_pvalue_X500.amol.12500.amol","differential_abundance_pvalue_X5000.amol.12500.amol","differential_abundance_pvalue_X50000.amol.12500.amol","differential_abundance_qvalue_X125.amol.12500.amol","differential_abundance_qvalue_X250.amol.12500.amol","differential_abundance_qvalue_X2500.amol.12500.amol","differential_abundance_qvalue_X25000.amol.12500.amol","differential_abundance_qvalue_X50.amol.12500.amol","differential_abundance_qvalue_X500.amol.12500.amol","differential_abundance_qvalue_X5000.amol.12500.amol","differential_abundance_qvalue_X50000.amol.12500.amol","abundance_12500.amol_1","abundance_12500.amol_2","abundance_12500.amol_3","abundance_125.amol_1","abundance_125.amol_2","abundance_125.amol_3","abundance_25000.amol_1","abundance_25000.amol_2","abundance_25000.amol_3","abundance_2500.amol_1","abundance_2500.amol_2","abundance_2500.amol_3","abundance_250.amol_1","abundance_250.amol_2","abundance_250.amol_3","abundance_50000.amol_1","abundance_50000.amol_2","abundance_50000.amol_3","abundance_5000.amol_1","abundance_5000.amol_2","abundance_5000.amol_3","abundance_500.amol_1","abundance_500.amol_2","abundance_500.amol_3","abundance_50.amol_1","abundance_50.amol_2","abundance_50.amol_3"
"sp|P47039|BNA3_YEAST",1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,0,1,0,1,1,0.573367253669243,0.215095099305458,NA,NA,0.0456473596223898,0.739926670780714,0.123443997079323,NA,0.863337091649835,0.821247505185665,NA,NA,0.182625569752162,0.984206322496251,0.534015074290094,NA,21.5904800679351,21.5398951811363,NA,NA,21.5872803602093,21.1341785555715,NA,NA,NA,NA,NA,NA,20.9302850149524,21.2609964489221,NA,NA,NA,NA,22.7273700508348,NA,21.605021599952,21.3810290306249,NA,21.509983266381,NA,20.6211004975889,20.8552624866399
"sp|P47044|YJF5_YEAST",0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4638589157162,NA,NA,NA,NA,NA,22.7856016514875,NA,NA,NA,NA,23.3132672234506,NA,NA,NA,22.5043455986003,NA,NA,23.0029839336387,NA,NA,NA,NA,NA
"sp|P47068|BBC1_YEAST",4,2,4,3,3,2,3,2,2,4,3,2,4,5,3,3,5,3,3,4,5,2,3,2,4,6,6,0.698498413716659,0.107187998964555,0.213531337622953,0.553528021950885,0.0849232907260168,0.767486965878871,0.084447145288392,0.785063463675463,0.924239863834902,0.65808010275074,0.812183183438773,0.751681750817337,0.250365578323318,0.990223647518677,0.427042214672423,0.851126265723711,23.7371908946654,22.2694015142372,23.804093773325,22.821572701983,23.5508081000036,22.9592532614243,22.7633880627976,23.3695927786786,22.9430454225247,24.1796763793915,23.9141167940947,23.2835281259695,24.0847900731102,24.2605285103188,23.5224209693473,22.4852690678551,23.7463189608419,23.242134090972,23.7167782582709,23.8871856064661,24.421118354752,22.6898597448774,23.7894842962471,22.9659767785242,23.5401115069477,24.2536859740619,24.2276326668657
"sp|P47075|VTC4_YEAST",5,2,2,3,3,3,1,2,3,3,2,3,5,4,3,1,2,3,3,2,3,3,4,5,5,6,5,0.867105831425266,0.800058859643251,0.0856223563229764,0.0928256393118139,0.0903867214769565,0.920224328170101,0.540289724270904,0.800195853440875,0.981750015286605,0.964065788589125,0.577950905180091,0.316468846261374,0.25623379543315,0.998060450431217,0.848218877635146,0.864901717600515,25.7964288764777,24.0055313286904,24.5031238891827,24.4150865518702,24.7742919604068,24.7424585557079,22.1010073361604,23.3131730201576,25.0024832754603,23.47326088949,22.0421461828353,24.8058383347687,25.5275719351327,25.9066584261988,23.4360453399266,24.2005279646905,24.3328318284061,25.206928981054,24.5309459219782,23.809413642036,24.5926578401687,23.9798117615607,24.8906458290603,25.6579644714613,25.9369483954844,26.277082091348,26.0110390634949
"sp|P47079|TCPQ_YEAST",3,3,2,1,2,1,3,3,3,2,3,0,3,2,3,1,1,1,2,1,2,3,2,1,3,4,5,0.0780417858152494,0.551170737536209,0.817699783618415,0.974274080989595,0.396148617619411,0.386007799534257,0.570963831401427,0.572746996255357,0.448740268437684,0.930146234531732,0.994092954940937,0.980340544756653,0.615910504568981,0.914488887966971,0.860749946962163,0.697030487096808,22.5994407898078,NA,21.8797269516297,20.7058078601994,21.8546682646665,20.5869609493604,20.8677183747993,22.4856810590987,23.4274351789047,22.1839979853416,22.6195197142244,NA,22.1056947635316,22.5761974744002,23.1909167285877,21.603205087482,22.0766683202372,21.9474379225181,22.6441661911276,21.0341818496414,NA,21.8249219220679,21.4204210811546,NA,22.5153224882221,22.4085003408775,23.4477755580809
"sp|P47089|DENR_YEAST",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,2,1,2,1,1,1,0.765336022699977,0.312732786144273,0.865237883293547,0.821071363490899,0.153782761280857,0.0128887893352017,0.0103123442447417,NA,0.946260683190281,0.852484939218121,0.994092954940937,0.915069878207788,0.361938737058408,0.294157774817729,0.159354904461197,NA,21.9329677094255,21.9576495727621,21.9184893258714,22.2647766632917,21.8488532529706,21.9280539378364,21.6789743728397,21.9533817895039,22.0006167155783,21.8989992328276,22.0945193009233,21.9477119960762,22.1234973245593,22.0045679603479,22.4783170808733,NA,NA,NA,22.2527934096871,22.5349363653943,23.2225688922557,22.9414511821357,21.9328507070223,23.0559055182703,21.3675398716209,21.5688654589476,21.729416957726
"sp|P47117|ARP3_YEAST",6,2,3,5,4,3,3,2,3,1,0,4,5,4,4,3,2,2,1,2,3,3,3,3,4,6,8,0.806238266689201,0.556683852672408,0.0648401523005584,0.346301869356349,0.769325252795954,0.962531163185189,0.0769910357941817,0.814693280571537,0.961095006937432,0.93084840938665,0.505005032340887,0.596613881535031,0.882779117323447,0.998060450431217,0.420371055436232,0.873508036120819,26.4270707483492,25.5783983595536,25.6695024085638,26.3606247173322,25.8615823727955,26.1093939371142,25.9649278928034,23.2351513288653,25.9250096149727,21.799580200581,NA,26.1249076714096,26.3421227721797,26.3573638505818,26.5551201593654,25.7993649335818,25.5660713790426,25.6821462887795,22.6076888552895,24.2143536009403,25.9138617762814,26.1075351380507,26.2077557792804,25.2340191710735,26.1450809826608,25.5400380158093,26.7751919139602
"sp|P47119|ITPA_YEAST",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,NA,NA,NA,NA,0.0143874290368217,NA,NA,NA,NA,NA,NA,NA,0.0932899168498676,NA,NA,NA,NA,21.2966837165191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5022265348998,23.0946466671416,22.6434149230614
"sp|P47120|DOHH_YEAST",1,2,1,1,2,2,1,0,2,0,2,1,1,1,0,2,1,1,2,1,1,2,2,2,2,2,2,0.81035495502978,0.809240306839074,0.675347548160639,0.396865636606159,0.166349745937958,0.740613310823206,0.837208527685315,0.87205708542235,0.962095679091716,0.964065788589125,0.991476218038758,0.637509809896176,0.375816742993045,0.984206322496251,0.963024977772855,0.91304149152575,22.0731680492345,22.8110139398193,21.7742692242998,21.717065391964,22.6749237694474,21.8676270790615,21.7064929117401,NA,23.7934233290668,NA,22.707721403831,22.2510808549729,22.0303422890878,NA,NA,22.8840870859651,21.6288579989504,21.8779801561502,22.7600566038617,22.2625012400932,21.9772981486054,22.7799398041322,22.9917878331733,21.4373916546703,23.7694273949494,22.495924167465,22.7648134732224
"sp|P47137|YJ66_YEAST",3,0,1,1,1,1,1,1,2,1,1,0,1,2,1,1,0,1,0,1,1,0,1,1,5,4,5,0.665189097350113,0.984943637488612,0.127152677942014,0.83723302609002,0.166518556870847,0.950331414870903,0.0726219348013299,0.574493459468274,0.911378730301663,0.989795576589541,0.660215827775841,0.92452965921417,0.375816742993045,0.998060450431217,0.413037254182564,0.698096597717509,24.1530252429238,NA,23.2548954275794,NA,23.3607518095145,23.4507280375362,23.4696900474794,NA,23.656000661535,21.7721388530885,23.4301319410983,NA,23.4754995881818,24.0681485393838,23.5327648648957,NA,NA,23.2287655803126,NA,21.1304938882249,23.6279435433408,NA,23.5811710755251,23.7412455516495,24.4321734203308,24.7333486485286,24.6599885622983
"sp|P47143|ADK_YEAST",10,7,7,8,8,7,7,6,6,8,7,9,9,9,7,7,8,7,8,7,7,9,9,8,10,10,10,0.685690675096908,0.233910690202468,0.612739549530656,0.000860670735374104,0.00247639626199179,0.505425813272026,0.64153621022333,0.148471337244207,0.915733653080096,0.826784020043974,0.985988430672831,0.0278168781672911,0.0293219673340188,0.91511811173924,0.899478840115365,0.299934540226332,27.0034321508738,26.6771386309151,26.6377980949496,26.9762623122656,26.7788280507879,26.7587518190479,26.5745114416297,26.0231500714254,25.8542276063815,26.8669407087849,26.6358487934795,27.0603484940945,26.9724531005517,27.0475329530708,26.8827621033699,26.6162319205649,26.6308203813969,26.3556744797192,26.894668497862,26.8388396329498,26.8098746026151,26.9242872215273,26.9432698822474,26.7736435986979,27.4102620617272,27.4423431272602,27.1150375063429
"sp|P47165|XPT1_YEAST",1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,3,2,2,0.847696240458034,NA,NA,0.0906068170607865,1.72119958016042e-07,NA,0.281467671593016,0.309859552638557,0.981750015286605,NA,NA,0.316405771846459,2.81244011398212e-05,NA,0.68201781962923,0.489187718929375,21.0912741389311,NA,21.2750265626169,21.2302691811645,21.180568186358,21.0224577768376,21.2876500388251,21.7128703087975,21.6394823240412,NA,NA,NA,NA,NA,NA,21.3139563059079,21.1633427317161,21.7000296656518,NA,21.4677594386246,21.3862542463497,NA,NA,NA,23.6255139902494,23.2108036974643,23.1504993871171
"sp|P47176|BCA2_YEAST",9,8,10,8,8,8,8,8,8,8,8,8,8,9,9,8,10,10,8,8,8,8,8,9,11,8,10,0.194939311145436,0.0544556350816902,0.512315182550386,0.0196091172964585,0.607783721144925,0.232667124379044,0.214609688102273,0.00153020475626059,0.637834900902638,0.528683022678271,0.963195942712674,0.146947476024316,0.776830003250708,0.767012808334305,0.632991613728435,0.0130991604045218,26.770674739888,26.7959741823108,26.8722857542206,26.9342109920206,26.8859084725238,26.9788586226755,26.5836965291916,26.5843928432181,26.5892322994636,26.8622241402797,26.8750785480861,26.8807064396989,26.9245218329468,27.0509194256432,27.0121781182445,26.4658126099173,26.429282646849,26.5578794574282,26.9374407093593,26.9690026608189,26.8765934967473,26.9128888294433,26.8993912094717,26.9570935866421,26.9961834244788,26.6167269540216,26.9659900178839
"sp|P47771|ALDH2_YEAST;sp|P54114|ALDH3_YEAST",10,6,6,7,5,6,4,3,4,5,4,5,9,9,7,5,6,5,6,6,8,6,6,5,6,7,10,0.326832857845695,0.126443931145843,0.201661756014665,0.000158393612941289,0.311187082084957,0.498661182696781,0.265284217754176,0.00991979422350806,0.760664567962302,0.669710887936318,0.805013540197319,0.0116347308415056,0.545579068805601,0.91511811173924,0.672655648113529,0.0462751822262893,25.9068206551283,25.3650327333322,25.1873159212699,25.4954912647718,25.2000976612089,24.992609720576,24.1464262206121,24.0724055119161,24.6738261848522,25.1814376869583,24.9521013730353,25.3128568539781,26.0523056774709,25.95490358774,25.675461796119,24.6890843576081,25.0189049401086,24.5638686199595,25.7177813858879,25.627098187096,25.9934099666171,25.4901633257585,25.2186436591039,25.2218292171228,24.6521713754403,25.0939671212259,25.9160583269279
"sp|P47912|LCF4_YEAST;sp|P39002|LCF3_YEAST",1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.317038726300024,0.939742033995122,NA,0.615957686036208,0.520492462085334,NA,NA,NA,0.758623249569474,0.97980554487076,NA,0.78749020619819,0.713493861616976,NA,NA,NA,20.119531538834,21.7259382009399,NA,NA,22.1390749623309,NA,NA,21.4987120071856,NA,NA,NA,NA,NA,NA,20.8375031984855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4802657914977,21.1455554208135
"sp|P48015|GCST_YEAST",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6999107979871,NA,21.6376949253987,23.8690369266321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8780939061253,NA,NA,NA,NA,22.7034804479443,20.6775568284731,20.8288503562799
"sp|P48164|RS7B_YEAST",3,3,3,4,3,3,3,3,3,3,3,3,2,4,3,2,2,1,4,3,3,3,3,3,4,4,4,0.891794613059085,0.686349478686783,0.62602090675439,0.741590613406102,0.31579426992616,0.900566425801697,0.460515985871787,7.1349389160284e-06,0.982951739090536,0.964065788589125,0.985988430672831,0.887711430566119,0.551238767144014,0.998060450431217,0.821606660301496,0.000184587774537251,25.4562230232863,25.5423239666344,25.5037796894762,25.5930647161877,25.4957272852828,25.5317036722448,25.4627888845168,25.3935175258686,25.3592426665321,25.5880485829642,25.6405120857451,25.6983021433663,25.394007116248,25.765926110707,25.6938325503948,24.5904665987679,24.0705326073359,22.6701656217154,25.6867280663375,25.7545503304911,25.7065107116289,25.6340337061218,25.6651936420848,25.0945661604585,25.6666322326604,25.899187519266,25.8191478843299
"sp|P48589|RS12_YEAST",8,6,8,6,6,7,7,8,7,7,5,7,7,7,6,7,7,6,6,5,7,7,7,6,6,6,8,0.316676829080638,0.337593565199172,0.769870252704458,0.789673322790733,0.992513684101678,0.0931320814107869,0.669087873923078,0.648715755834949,0.758623249569474,0.86086359125789,0.994092954940937,0.903160585448481,0.995344280558598,0.532860600797165,0.905756973128927,0.751835312398308,27.7082072069959,27.6022737663031,27.7293952485722,26.7337071705657,27.6694101933384,27.813453337217,27.5748554443469,27.6492433326691,27.5990959275476,27.5668320970545,27.3681046282251,27.8672471104264,27.6415612710702,27.7518166509596,26.8588909771317,27.5840962645343,27.4911309192113,27.593932963332,27.8096187135104,27.6679537714655,27.9100025808258,27.823850196432,27.0267772632835,26.7753179313887,27.469835736854,27.7986509559891,27.7637743916989
"sp|P48606|TBCA_YEAST",2,1,1,1,1,2,1,1,0,2,1,2,2,2,0,1,2,1,1,1,2,0,1,1,0,1,1,0.746379891894768,0.326251915792042,0.506725687699647,0.170123222540611,0.573014223501823,0.813113867562417,0.900930578343197,0.617972687378134,0.943398300077546,0.853909265503531,0.963195942712674,0.434275935049301,0.750244584296458,0.998060450431217,0.980034743406848,0.730994240821923,22.8849857081798,21.0690791603603,22.2474122528975,22.151096301305,21.1391053121756,22.3594748601192,21.3364525743778,21.0015646762889,NA,22.6887272458045,21.3274632885436,23.3243209715889,22.5482809855448,22.8521408339424,NA,21.1894965596361,22.4731308761096,21.6859399743382,20.995980081092,22.3232242472324,22.6701879283258,NA,22.1502541492333,22.284468502749,NA,21.4569300358492,21.9581396672802
"sp|P49089|ASNS1_YEAST",12,10,11,12,12,11,11,9,11,9,13,9,12,12,12,12,11,12,11,11,11,10,12,12,13,13,14,0.0298773885518918,0.093696395138464,0.601415702479732,0.383002020227736,0.542491782996932,0.492895734087252,0.0929687506816327,0.0469117800526653,0.30361616149584,0.632213377182734,0.983708385123668,0.62392264585486,0.725394086265947,0.91511811173924,0.447890628283866,0.134850349828808,26.4173038448443,26.4744152734405,26.3699039088137,26.7220709232408,26.9224060889475,26.8661563274389,26.2989746191069,26.1157196678508,26.3707590186695,26.1423305573137,26.7221634550539,26.680451114193,26.6518454960934,26.8163649755078,26.7332543713116,26.4228005409496,25.6822925907202,26.0253884985811,26.7101797778234,26.7243081469032,26.7692229658039,26.3981009710798,26.6196998429338,26.6166920273656,26.2678334676281,26.4107155813859,26.9138316950441
"sp|P49090|ASNS2_YEAST",5,6,4,4,5,4,4,4,5,5,4,5,5,4,4,5,5,4,4,4,6,4,4,5,4,5,5,0.862016415802749,0.593064434429363,0.2278876694355,0.0409523671111835,0.427185260332119,0.566428944665413,0.177449337474674,0.0271554852982578,0.981750015286605,0.949050449553712,0.81256222502345,0.23248190981158,0.647514578277071,0.925801930566578,0.598344282659794,0.0963659257044369,26.2370632036862,26.6735768516455,26.2887826042975,26.3886546359956,26.4623984896808,26.423750320542,25.9769061932621,26.0184289874297,26.2679024541689,26.5991539826434,26.3925894382671,26.7404150415699,26.4683596397232,26.4488146768368,26.5147857422867,26.2012318535355,25.9568314151734,26.0198953948804,26.4951559768917,26.4875447358516,26.8154161064861,26.3063056019311,26.3799507786206,26.7627777369299,26.4085606930417,26.6684157859175,26.4695014052329
"sp|P49167|RL38_YEAST",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,0.64461904068271,0.516746115670866,0.769460066128122,0.723713478968829,0.236008413682743,0.530466284442918,0.660404603087551,0.676784218987292,0.901704571420755,0.926667999776985,0.994092954940937,0.875389956597027,0.46116168016843,0.917954712541992,0.902957211901009,0.77319222739004,25.2481248463354,25.3550428625925,25.3926723195361,25.5450156399827,25.4400003555116,25.5306655244586,25.2460316617803,25.2086723691744,25.1431840298587,25.3948254624167,25.4537187614159,25.4770646318549,25.5460102096931,25.517916880411,25.6646107053403,25.3194901601547,25.0584809512777,25.1482986805058,25.52876518599,25.5058867407791,25.4562262237572,25.5227039341982,25.5689346065123,25.6128362443158,23.2757376401401,25.6573726300086,25.7063153423283
"sp|P49334|TOM22_YEAST",1,0,1,2,2,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0249027259518911,0.268492596348838,0.097404549336388,0.919089502463356,NA,0.101136985271018,NA,NA,0.286822764670871,0.849185886126556,0.598854734519134,0.969439275634097,NA,0.532860600797165,NA,NA,23.408338276412,NA,24.0508326189336,24.2003084849779,24.3281780047325,24.1864423898808,23.7823487971012,NA,23.6336930665998,NA,24.035132195056,24.1894942964922,23.9818983725192,23.9646691095912,NA,NA,NA,NA,NA,NA,NA,24.017195919087,NA,24.1975970400326,NA,NA,NA
"sp|P49435|APT1_YEAST",4,2,3,4,4,4,3,3,2,3,2,3,2,2,3,3,3,2,4,3,4,3,3,2,4,5,5,0.715731339473413,0.404444188610208,0.476159462014327,0.548461938688611,0.652775361811455,0.529841360059084,0.089673473781528,0.0301875657490595,0.932836512447015,0.89118947050408,0.954676149088131,0.751681750817337,0.811746530593544,0.917954712541992,0.437702591762915,0.103907415153415,25.1168465736347,24.4884080272485,24.4952968983253,24.7968005638176,24.7460246815203,24.7808025509267,24.6465900819113,24.8074253516661,24.2778743906517,24.9014964247059,24.5795745382295,25.0580519813556,24.6911537956451,24.1470873324329,24.7478737278748,24.417216721473,24.0916709162138,24.1814802148468,25.0540235548267,24.9631085747195,25.1610654869439,24.8775746711473,24.6587271225267,24.1781008644068,24.836530466584,24.8060125552104,24.7338549957071
"sp|P49573|CTR1_YEAST",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,2,0,0,1,0.868090494646933,0.732826784745043,0.837038285196055,0.788336426840161,0.474366936486064,0.493805376361935,0.632235290177771,NA,0.981750015286605,0.964065788589125,0.994092954940937,0.903160585448481,0.675345474294058,0.91511811173924,0.899478840115365,NA,19.5115967277539,19.456990476172,19.1489323321151,NA,19.3922728075678,19.5446421888486,19.1322364323986,19.9405366534434,19.4612528245462,19.2785613819253,19.1801708272224,19.3398559684666,19.4206223133061,19.5999940485378,19.6269113674858,NA,NA,NA,19.7112552694816,19.6411379124108,19.5096358350504,18.5650920404098,19.0685659113001,21.5528087990946,NA,NA,18.8452783980673
"sp|P49723|RIR4_YEAST",11,9,10,11,11,10,9,10,9,12,10,10,11,10,10,10,11,11,9,12,9,11,9,10,12,12,11,0.34702696763513,0.013812115270662,0.0914749382585048,0.0295028472109099,0.000651975342025921,0.248346993312067,0.143707712761202,0.299581163159157,0.768373627299427,0.281767151521506,0.594620896474977,0.187703153908781,0.0115796490094604,0.795119180233695,0.570379215469778,0.481491168043374,27.6375128803279,27.5263726403501,27.7444561426282,27.7789037988998,27.6609799038751,27.7121982214577,27.4361176170503,27.3866988391945,27.4918297865204,27.736147598558,27.7815190998222,27.8395323150726,27.8239291451168,27.7599735558244,28.0080990081593,27.4924864955519,27.5438714761279,27.6024392356054,27.7885078280635,27.8274130063641,27.677663818243,27.7045873046721,27.7378552953203,27.7668620314579,27.9585757092915,28.0045823775455,27.9677104602722
"sp|P49954|NIT3_YEAST",1,0,0,1,1,2,1,1,0,2,1,2,1,1,1,1,0,0,1,1,0,1,0,1,1,1,2,0.448335435252989,0.544322502378187,0.174773455064376,0.95431449090004,0.750768642272868,0.85140380577351,0.653219017722895,0.777524116498756,0.827886653065847,0.930146234531732,0.761169392045726,0.975980729468933,0.87236931760264,0.998060450431217,0.902244116390268,0.844951682157185,22.5132956584747,NA,NA,22.6233017053428,22.6264732025931,23.7901393912171,22.6633288798822,22.4424829972748,NA,23.7690040726741,22.6726270913247,23.8538521225337,23.1200366776367,22.8009738308966,22.8133226437199,22.7392211283154,NA,NA,22.7175808161559,22.932804208261,NA,22.288721583882,NA,22.9970747031197,21.255005714917,22.8602810952357,22.802226175942
"sp|P50094|IMDH4_YEAST",0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,2,1,NA,0.215376183958005,NA,0.800028662087735,0.0460784093537525,NA,0.374120364466115,0.686630268841337,NA,0.821247505185665,NA,0.909174625832476,0.182625569752162,NA,0.767966340521886,0.782212323310727,NA,21.9996672741911,NA,NA,NA,NA,22.1417333190523,NA,NA,NA,NA,NA,22.7887084834001,NA,22.5228033790012,21.7721224767368,NA,NA,21.4797564370809,NA,NA,NA,NA,NA,22.8772373411785,23.7486138568789,22.854956034608
"sp|P50095|IMDH3_YEAST;sp|P38697|IMDH2_YEAST",8,5,5,5,6,7,5,7,2,5,6,5,6,7,7,5,7,4,5,6,6,5,6,7,7,8,8,0.436806947339436,0.873351346505223,0.69308906305259,0.775745908986994,0.024375245035468,0.339680615287825,0.700540680500274,0.657406443378335,0.827886653065847,0.964065788589125,0.991476218038758,0.901874380520131,0.130160622182858,0.900990934515644,0.906937214180311,0.759711768860842,24.6997245794232,22.4180027468704,22.511234818466,22.1765644712662,22.2089222211858,23.6776561354175,22.3163852118278,24.5272561598293,NA,23.7115398392971,23.4992166878011,23.2077900236008,22.34468655844,24.4929265644749,22.4730402816907,23.0914678730453,23.5127488879491,22.1369449416592,22.7640172692608,23.1101483655873,22.9854571833473,NA,23.9430375080759,23.9157205937195,24.9262314746583,24.7820850008003,24.763114078148
"sp|P50107|LGUL_YEAST",2,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,2,NA,0.409678164976801,0.378757975767532,0.272835520116697,0.534657810385767,0.295692246676515,0.390611047430316,0.568482967204085,NA,0.89118947050408,0.893762949661254,0.531207470492267,0.723204356101278,0.879825711478577,0.771218341276327,0.693947244593115,26.2550999273229,22.2637272816094,NA,NA,NA,NA,20.7529571447727,NA,NA,NA,NA,21.5151760904073,NA,NA,21.7032021067739,NA,NA,25.9914641782467,NA,NA,21.5886773100322,NA,NA,20.9371239209221,20.7562332956841,21.576231980541,26.2142381775672
"sp|P50861|RIB4_YEAST",5,2,4,4,3,2,4,2,3,2,3,3,4,4,3,3,4,2,2,2,4,4,4,5,4,4,3,0.147723459663639,0.258642517662638,0.999502575283853,0.322521302429408,0.0826657426073729,0.0980451771839388,0.717958357070526,0.159581847707212,0.586436892038269,0.837509104812351,0.999502575283853,0.577820869984393,0.247391617986167,0.532860600797165,0.910571905871233,0.314458579511509,26.0709730540856,22.4018040334367,25.1625285763284,26.1352134567561,25.521567465534,25.5528382081506,25.5199566433803,25.0434603397704,25.4790949713661,23.2673089394869,24.8739929090609,25.4925059841575,26.0388049352462,26.1761450727536,24.1796665111126,25.5132831602495,25.9663432019997,25.623058454311,22.5323702734256,25.5733877161495,24.6603028134936,25.3646859692158,26.1685207614371,26.2216780783618,26.1439173032649,25.6537245258998,26.1747190851949
"sp|P52286|SKP1_YEAST",2,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,2,1,1,1,1,2,2,0.190053710340546,0.292895293466633,0.169695342963854,0.857253658671852,0.751711137811822,0.539636565329713,0.0938804900959931,NA,0.635136758488493,0.851823143438219,0.761169392045726,0.932248931637761,0.87236931760264,0.917954712541992,0.449638136775546,NA,23.6680763139662,22.8676301753131,23.0828906721977,22.8793754157665,22.8399558576995,22.8134222944938,NA,23.1383201567057,NA,22.8824547970685,22.6788754285213,NA,22.7533834361661,22.9629642881784,23.0416172289425,NA,NA,NA,NA,NA,23.8756114511718,23.3425780085516,22.8654511775214,22.9161129324903,22.6407025648443,23.6947406570359,23.5367774990788
"sp|P52488|UBA2_YEAST",1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0.34827235831741,0.370361520857326,NA,NA,0.572437835931985,NA,NA,NA,0.768373627299427,0.878674855538861,NA,NA,0.750244584296458,NA,NA,NA,22.8742595879381,NA,NA,NA,NA,23.3302804953327,NA,NA,NA,NA,NA,NA,NA,23.3034415354161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.121477742699
"sp|P52490|UBC13_YEAST",2,2,1,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,0.0328558260433375,0.00825614622363335,0.316589508963264,0.388540463028044,0.0879991299302329,0.0394779733294316,0.0400244374062428,0.383957395393648,0.320691687176329,0.217156136591225,0.866756641687508,0.62662813198934,0.253152426595071,0.400972895931433,0.331111254906191,0.551852743917036,23.3891226623142,23.5838834246417,23.2669212532706,23.7536402241328,23.7399840096867,23.8571245208552,23.1800204192274,23.1277595114462,23.5053036165386,23.5992152709053,23.3400670932845,23.798085085919,23.7765505950291,23.8271655858412,24.0571638664554,23.5044035199579,23.576867129309,23.5897203655782,23.6900154487082,24.046729032511,23.5673715327419,23.9984942151577,23.3813578006205,23.9275372584202,23.736755601469,23.6318504580406,23.7402132917675
