"protein_name","n_indistinguishable_proteins","Normalized.spectral.abundance.factor_A_1","Normalized.spectral.abundance.factor_A_2","Normalized.spectral.abundance.factor_A_3","Normalized.spectral.abundance.factor_B_1","Normalized.spectral.abundance.factor_B_2","Normalized.spectral.abundance.factor_B_3","Normalized.spectral.index_A_1","Normalized.spectral.index_A_2","Normalized.spectral.index_A_3","Normalized.spectral.index_B_1","Normalized.spectral.index_B_2","Normalized.spectral.index_B_3","number.of.quantified.peptides_A_1","number.of.quantified.peptides_A_2","number.of.quantified.peptides_A_3","number.of.quantified.peptides_B_1","number.of.quantified.peptides_B_2","number.of.quantified.peptides_B_3","probability_A_1","probability_A_2","probability_A_3","probability_B_1","probability_B_2","probability_B_3","Spectral.index_A_1","Spectral.index_A_2","Spectral.index_A_3","Spectral.index_B_1","Spectral.index_B_2","Spectral.index_B_3","total_number_distinct_peptides_A_1","total_number_distinct_peptides_A_2","total_number_distinct_peptides_A_3","total_number_distinct_peptides_B_1","total_number_distinct_peptides_B_2","total_number_distinct_peptides_B_3","total_number_peptides_A_1","total_number_peptides_A_2","total_number_peptides_A_3","total_number_peptides_B_1","total_number_peptides_B_2","total_number_peptides_B_3"
"Q9H0W9",1,-13.4430352546,-13.4484503569,-13.5784952049,-13.5300472982,-13.4164876593,-13.5929430439,-22.9119940673,-22.5812952479,-22.6550977401,-22.7020745814,-22.6777483387,-22.5555580974,1,1,1,1,1,1,1,0.9997,0.9975,0.9997,0.9996,0.9996,101.7534167641,138.0156164711,147.7510621708,125.8648790118,123.4028050376,155.3112701404,4,3,3,4,4,3,4,3,3,4,4,3
"Q9H0Z9",1,NA,-13.0501091465,-13.1801539945,NA,-13.0181464489,-13.1946018335,NA,-21.4562356655,-21.3886319568,NA,-21.3170309156,-21.3516107057,NA,1,1,NA,1,1,0.9641,0.9896,0.9093,0.7703,0.8719,0.9898,NA,228.3979796797,269.6883263219,NA,240.452412504,271.4654704999,2,1,1,1,1,1,2,1,1,1,1,1
"Q9H115",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,1,NA,1,1
"Q9H147",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3229,0.2772,NA,0.2213,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,NA,1,NA,NA
"Q9H156",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4359,NA,NA,NA,0.2253,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,2,NA,NA,NA,1,NA
"Q9H1A4",1,NA,-16.0740548421,-14.6191371894,NA,NA,-16.2185475291,NA,-24.9600906485,-23.263965761,NA,NA,-25.1551086769,NA,1,3,NA,NA,1,0.9999,1,1,0.9966,0.9878,0.9999,NA,163.7665376547,597.9003129934,NA,NA,158.1415453928,5,5,4,5,5,5,5,5,4,5,5,5
"Q9H1B7",1,NA,NA,NA,-14.8674639004,NA,NA,NA,NA,NA,-24.5443275714,NA,NA,NA,NA,NA,1,NA,NA,0.5515,NA,0.9996,0.9824,0.9998,1,NA,NA,NA,88.7020520587,NA,NA,1,NA,3,1,4,3,1,NA,3,1,4,3
"Q9H1C7",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7325,0.8125,NA,NA,0.7427,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,1
"Q9H1D0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,NA
"Q9H1D9",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5357,0.7992,NA,0.2615,0.7787,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,1,1,NA,1,1
"Q9H1E3",1,-11.483677239,-12.0740548421,-12.2040996901,-12.1556517834,-11.4571296438,-12.2185475291,-20.2112885584,-20.4814871554,-20.7119789476,-20.6566514903,-20.2206731185,-20.6654605217,3,2,2,2,3,2,1,1,1,1,1,1,510.3147117677,456.3826969096,438.2918278933,400.805790063,522.725990642,444.0938472345,5,5,4,3,5,4,5,5,4,3,5,4
"Q9H1H9",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"Q9H1I8",1,NA,NA,NA,NA,NA,-14.8578845155,NA,NA,NA,NA,NA,-23.8425509671,NA,NA,NA,NA,NA,1,NA,NA,NA,0.7596,NA,0.8521,NA,NA,NA,NA,NA,152.9554088094,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1
"Q9H1K1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8716,NA,0.2871,0.4807,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,NA,NA,1,NA,0,1
"Q9H1K4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9971,0.9999,0.9998,0.9748,1,NA,NA,NA,NA,NA,NA,NA,0,4,1,0,4,NA,0,4,1,0,4
"Q9H1Y0",1,-13.2471150446,NA,NA,-13.3341270882,NA,-13.3970228339,-21.9784470226,NA,NA,-22.0103861154,NA,-22.6454740645,1,NA,NA,1,NA,1,0.988,0.4074,NA,1,1,1,169.6667746882,NA,NA,177.4784710423,NA,127.3965620649,2,1,NA,7,4,4,2,1,NA,7,4,4
"Q9H201",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.985,NA,NA,0.9997,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,2
"Q9H204",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"Q9H223",1,-14.22331202,-14.2287271223,NA,-14.3103240637,-14.1967644248,-14.3732198093,-22.8731361993,-22.7845879539,NA,-22.9834953852,-22.8030160073,-22.9307739722,1,1,NA,1,1,1,1,1,1,1,1,1,179.5283735544,205.8816966348,NA,177.8587233505,194.3132507025,205.6546101655,2,5,4,5,5,4,2,5,4,5,5,4
"Q9H254",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,4,NA,6,NA,3,3,4,NA,6,NA,3,3
"Q9H267",1,-14.4129539153,-14.4183690176,-14.5484138657,-14.499965959,-14.3864063201,-13.5628617046,-23.4055065081,-23.0269943989,-23.0641838097,-22.7511653216,-22.9931512026,-22.7002537624,1,1,1,1,1,2,0.9993,1,0.9993,1,1,1,141.5668483283,198.4878951725,217.9505875607,238.2875695433,194.2468206274,275.1818881367,2,5,4,3,5,4,2,5,4,3,5,4
"Q9H269",1,NA,NA,NA,-14.9433662803,-14.8298066414,NA,NA,NA,NA,-24.2234987735,-23.9742928475,NA,NA,NA,NA,1,1,NA,NA,0.7194,0.7026,0.85,0.98,0.4949,NA,NA,NA,116.7781663768,133.8066355333,NA,NA,1,1,1,2,1,NA,1,1,1,2,1
"Q9H299",1,-10.6829860473,-11.6884011496,-10.8184459976,-11.7699980909,-11.656438452,-11.8328938366,-19.1438527682,-20.0736434886,-19.273351327,-20.0159303803,-19.9276628693,-20.040939366,2,1,2,1,1,1,1,0.9999,1,1,0.9999,1,409.3030255628,231.7282717427,454.6844633215,239.1591133499,245.106959875,262.0300091129,4,3,4,4,3,4,4,3,4,4,3,4
"Q9H2D1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"Q9H2D6",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"Q9H2G2",1,-13.4141225626,-13.419537665,-13.549582513,-14.5011346063,-14.3875749674,-14.5640303519,-22.357779687,-22.1628373554,-22.4866361851,-23.3521304879,-23.2278447632,-23.2578647255,4,4,4,2,2,2,1,1,1,1,1,1,585.7881169812,723.1909970379,651.0269943403,314.4666830299,330.4349004607,374.2346655766,8,9,8,10,9,10,8,9,8,10,9,10
"Q9H2G4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA
"Q9H2H8",1,NA,NA,NA,NA,NA,-12.6246519036,NA,NA,NA,NA,NA,-20.9100120721,NA,NA,NA,NA,NA,1,0.2934,0.2278,0.3086,NA,NA,0.9999,NA,NA,NA,NA,NA,248.3573438608,1,1,1,NA,NA,2,1,1,1,NA,NA,2
"Q9H2J4",1,-11.0446940441,-10.7281810516,-11.1801539945,-10.8097779929,-11.0181464489,-10.8726737386,-19.8347426297,-19.6356303704,-19.8347162396,-19.505769972,-19.7083247247,-19.6644896204,4,5,4,5,4,5,1,1,1,1,1,1,651.6003896092,806.7687397801,791.839914702,875.3373755597,733.3274746298,874.1554098765,6,6,7,6,7,8,6,6,7,6,7,8
"Q9H2K8",1,NA,-13.3748514725,-14.0898588213,-14.0414109146,-14.9278512757,-15.1043066602,NA,-22.6050077492,-23.0628208563,-23.0359110035,-23.8871758656,-23.9071440232,NA,3,2,2,1,1,0.9998,1,1,1,1,1,NA,387.0399887023,317.5115343187,284.6922002402,152.1306957048,173.5005472181,5,4,6,6,6,6,5,4,6,6,6,6
"Q9H2M9",1,-14.5878067788,-14.5932218811,-14.7232667291,-15.6748188224,-13.9762966828,-13.4157864732,-23.4371587006,-23.235277091,-23.3396556952,-24.2793905664,-22.8353262882,-22.191540852,2,2,2,1,3,5,1,1,1,1,1,1,312.679390421,387.8829061785,406.5357063531,186.5201264412,489.2489528688,883.9417439151,8,7,11,7,15,11,8,7,11,7,15,11
"Q9H2P0",1,-14.2497357447,-13.6701883463,-13.8002331944,-14.3367477884,-13.6382256488,-13.8146810333,-23.425188537,-22.3340743955,-22.4834730571,-23.2428728316,-22.1111100713,-22.6364247713,2,3,3,2,3,3,1,1,1,1,1,1,249.4210556433,573.0864794545,582.1914591534,302.6767823521,639.3978734926,513.7250198618,8,8,8,7,13,10,8,8,8,7,13,10
"Q9H2P9",1,-12.2986453452,NA,-12.4341052956,-12.3856573889,-12.27209775,-11.4485531345,-21.6646204288,NA,-20.9177128422,-20.9694738627,-21.0020296209,-19.9468695508,2,NA,2,2,2,4,1,0.3422,1,1,1,1,218.5647842127,NA,445.7279686455,378.4457703392,356.6982151468,857.0985876639,4,1,5,3,6,5,4,1,5,3,6,5
"Q9H2U1",1,-15.1211071597,-14.126522262,-14.25656711,-14.2081192033,-14.0945595644,-13.6860524483,-23.6085863174,-22.7186125321,-23.2169732566,-23.195454483,-22.9841249382,-22.5987647837,1,2,2,2,2,3,0.9651,1,1,1,1,1,200.9110473046,401.5518087504,320.2869218876,286.1095744245,319.3349577439,482.3324056648,2,3,4,4,5,6,2,3,4,4,5,6
"Q9H2U2",1,-12.5275315286,-11.9479841302,NA,-12.6145435723,-11.9160214327,NA,-21.282633685,-20.8030190864,NA,-21.1602103688,-20.8492428685,NA,2,3,NA,2,3,NA,1,1,1,1,1,1,333.7884179299,501.970977023,NA,388.5866291705,464.7248954917,NA,5,4,7,6,6,5,5,4,7,6,6,5
"Q9H2V7",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7523,NA,0.7893,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA
"Q9H2W6",1,NA,NA,NA,-13.3549605917,-13.2414009528,NA,NA,NA,NA,-22.4664359188,-22.1049895316,NA,NA,NA,NA,1,1,NA,0.5686,0.9999,0.3138,1,0.9995,0.9932,NA,NA,NA,131.2600356143,162.5684490121,NA,1,4,1,6,4,4,1,4,1,6,4,4
"Q9H307",1,-13.6296565449,-12.6350716472,-13.7651164952,-12.3947404936,-14.6031089496,-11.9722094121,-22.8379882404,-21.3729562972,-22.6637086813,-21.3958395154,-23.6422084598,-20.7379757758,2,4,2,5,1,7,1,1,1,1,1,1,243.8010529132,725.9105371609,334.3082252008,708.4824567409,143.9468638622,1246.1157110226,16,19,14,13,17,15,16,19,14,13,17,15
"Q9H361",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,18,19,21,18,13,20,18,19,21,18,13,20
"Q9H3H1",1,NA,NA,NA,NA,-13.9845583806,-14.1610137652,NA,NA,NA,NA,-22.9437680909,-23.0330197556,NA,NA,NA,NA,1,1,NA,NA,0.9733,0.9998,0.9999,0.9999,NA,NA,NA,NA,152.1428101297,165.3784880928,NA,NA,4,4,4,5,NA,NA,4,4,4,5
"Q9H3H3",1,NA,NA,NA,-13.4206638387,NA,NA,NA,NA,NA,-22.2795027352,NA,NA,NA,NA,NA,1,NA,NA,0.7337,NA,0.321,0.9934,0.9723,NA,NA,NA,NA,156.3808831272,NA,NA,2,NA,1,2,2,NA,2,NA,1,2,2,NA
"Q9H3K2",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3147,0.823,0.8029,0.8497,0.8517,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,NA
"Q9H3K6",1,-10.5700919909,-9.9905445925,-11.7055519412,-10.6571040345,-9.9585818949,-10.1350372795,-18.6988894403,-18.1393564315,-19.8718599888,-18.7147159485,-18.2532698009,-18.3212718834,2,3,1,2,3,3,1,1,1,1,1,1,515.2378582632,818.9793466802,277.6876449706,545.0131890497,723.458600873,798.0645675875,4,5,4,6,7,7,4,5,4,6,7,7
"Q9H3M7",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3053,0.5202,0.3601,0.8143,0.4025,0.4144,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1
"Q9H3N1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8798,NA,0.2008,0.4692,NA,0.498,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,1,2,NA,1,1,NA,1
"Q9H3P2",1,-12.6032588548,-13.1936364579,-12.7387188052,-13.2752333992,-14.1616737603,-12.7531666441,-21.671233407,-22.1512153965,-21.8161532797,-22.2272370209,-23.2997612379,-21.7956422885,3,2,3,2,1,3,1,1,1,1,1,1,403.0682095306,311.6868889569,442.9976553911,293.2029126459,134.4014208762,440.8428412546,5,6,8,5,7,6,5,6,8,5,7,6
"Q9H3P7",1,-13.1882213555,-12.6086739571,-12.7387188052,-12.6902708985,-13.1616737603,-12.3381291448,-21.9086729671,-21.0631811375,-21.3466219802,-21.2991068093,-21.6006310613,-20.7453262966,2,3,3,3,2,4,1,1,1,1,1,1,341.9023740909,662.5970262863,613.4009337302,557.9089311933,436.4083079838,912.978207662,3,7,4,5,4,7,3,7,4,5,4,7
"Q9H3R5",1,NA,NA,-12.2276544181,-13.1792065114,-13.0656468725,-12.2421022571,NA,NA,-21.0205870887,-21.7948713155,-21.5562899921,-21.1195248113,NA,NA,2,1,1,2,0.6789,0.9929,1,0.998,0.9968,1,NA,NA,359.7110220739,185.0914498673,210.5251727174,329.5174853503,1,3,4,2,2,3,1,3,4,2,2,3
"Q9H3S7",1,-15.8197842691,-14.8251993714,-14.9552442195,-14.9067963128,-15.7932366739,-14.9696920584,-25.0543730904,-23.5549226674,-24.2211659074,-23.4853109039,-24.6876660984,-23.8241834859,1,2,2,2,1,2,0.9995,0.9995,1,1,0.9999,1,119.7019978046,365.0143322353,259.1611292206,379.8391115689,159.1300659259,334.7968951143,3,3,7,4,3,4,3,3,7,4,3,4
"Q9H3U1",1,-12.7045421906,-13.0318853879,-12.840002141,-12.3061274071,-13.4149601896,-14.1763780748,-21.5391152003,-21.8215998741,-21.6193145957,-21.0862021437,-22.1846133868,-22.7945129712,5,4,5,7,3,2,1,1,1,1,1,1,789.7473205819,700.2945801759,907.8076698174,1156.0911486334,520.5169598898,394.395387576,18,14,17,15,14,13,18,14,17,15,14,13
"Q9H3U5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7627,NA,NA,NA,0.7065,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA
"Q9H3Y6",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,1,NA
"Q9H3Z4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8782,NA,NA,NA,NA,0.5595,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1
"Q9H444",1,-11.9511821582,-11.9565972606,-12.0866421086,-13.0381942019,-11.3396720623,-12.1010899475,-20.599683482,-20.6606937718,-20.7570023432,-21.5539740214,-20.0991333374,-20.731262186,2,2,2,1,3,2,1,1,1,1,1,1,359.3861293019,371.5560593469,391.6081533492,198.3602896675,524.207172422,391.1183807215,4,5,2,4,4,3,4,5,2,4,4,3
"Q9H446",1,NA,NA,NA,-13.1556517834,NA,NA,NA,NA,NA,-22.4398491672,NA,NA,NA,NA,NA,1,NA,NA,0.9956,NA,0.9075,0.9969,0.9635,NA,NA,NA,NA,116.4495991178,NA,NA,2,NA,2,2,2,NA,2,NA,2,2,2,NA
"Q9H479",1,-13.4152902641,-12.4207053664,-13.5507502144,-12.5023023077,-13.3887426688,-12.5651980534,-22.3773590924,-21.0868415992,-22.1233130112,-21.1811262339,-22.1113318378,-21.2330565631,1,2,1,2,1,2,0.9999,1,0.9999,0.9998,0.996,1,144.5899445101,381.46221889,209.5374681171,354.3264416254,179.2591422847,381.0338230192,4,3,4,3,3,3,4,3,4,3,3,3
"Q9H492",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9905,0.9652,0.9979,0.9629,0.9932,0.3602,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
"Q9H496",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2552,NA,0.6661,0.5484,0.6447,0.2606,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,NA,1,1,1,1
"Q9H4A3",1,NA,NA,NA,NA,-16.3352373388,-16.5116927233,NA,NA,NA,NA,-25.5128721235,-25.6563098618,NA,NA,NA,NA,1,1,NA,0.8184,NA,NA,0.9994,0.9999,NA,NA,NA,NA,130.7672330212,136.9036050747,NA,4,NA,NA,3,4,NA,4,NA,NA,3,4
"Q9H4A4",1,-11.680768222,-11.0341066278,-12.0386205937,-11.7677802657,-12.139647454,-11.468105932,-20.5125898264,-19.5407463061,-20.4472539814,-20.4452441291,-20.7510552429,-20.1666158002,7,11,6,7,5,9,1,1,1,1,1,1,1107.7568706755,2343.2977053381,1408.5121953982,1241.3122086468,968.1000638818,1678.6071304388,14,20,15,17,20,22,14,20,15,17,20,22
"Q9H4A5",1,NA,NA,-13.4341052956,-13.3856573889,NA,NA,NA,NA,-22.5156867019,-22.2092222421,NA,NA,NA,NA,1,1,NA,NA,1,0.9996,0.9892,0.9218,1,NA,NA,NA,147.2420387263,160.2515380619,NA,NA,2,1,1,1,2,NA,2,1,1,1,2,NA
"Q9H4A6",1,-13.3629957566,NA,NA,-13.4500078003,-13.3364481614,-13.5129035459,-21.8368996261,NA,NA,-21.8760164083,-22.262072264,-22.2610117318,1,NA,NA,1,1,1,1,0.9996,NA,0.9994,1,1,202.8104770052,NA,NA,211.0952986972,155.7262081533,180.2087909044,2,2,NA,3,3,4,2,2,NA,3,3,4
"Q9H4B7",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,30,29,33,31,33,30,30,29,33,31,33,30
"Q9H4B8",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA
"Q9H4E7",1,NA,NA,-13.5807833815,NA,NA,NA,NA,NA,-22.7014839704,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,0.8215,0.9994,NA,0.6353,0.8407,NA,NA,286.6063249919,NA,NA,NA,NA,1,2,NA,1,1,NA,1,2,NA,1,1
"Q9H4G0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0,0,2,0,1,1,0,0,2,0,1,1
"Q9H4H8",1,-14.3361200506,-14.341535153,-14.471580001,-14.4231320943,NA,NA,-23.0061690823,-23.2352643046,-23.3817004234,-23.1454510295,NA,NA,1,1,1,1,NA,NA,0.9894,0.9911,0.8482,0.9895,0.8014,0.4818,177.0291602205,162.8955572201,165.8237458537,171.9017368602,NA,NA,2,2,1,1,1,1,2,2,1,1,1,1
"Q9H4I0",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,0,1,2,0,1,0,0,1,2,0,1,0
"Q9H4I3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7396,0.6688,0.4811,0.6086,0.7106,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,1,1,1,1,2,NA
"Q9H4L4",1,-13.3087341628,-14.3141492652,-14.4441941132,-13.3957462065,-12.6972240669,-13.4586419522,-22.5828109784,-22.9128646507,-23.3983353186,-22.2877189751,-21.7915880109,-22.5444620501,2,1,1,2,3,2,0.9999,1,0.9993,0.9995,0.9997,0.9996,232.9401354544,199.8560190223,160.8404002775,305.6605341063,415.6111687747,285.1967374676,4,4,3,2,4,3,4,4,3,2,4,3
"Q9H4L5",1,-13.9366175305,-13.9420326328,-15.0720774808,-14.0236295741,NA,-15.0865253198,-22.9217271552,-22.9394366972,-24.1344587578,-22.9800634739,NA,-24.3122199758,2,2,1,2,NA,1,1,1,0.9457,1,0.4695,1,284.5981783211,303.200544403,149.2147092342,292.3039159955,NA,129.4220038591,5,7,1,4,1,5,5,7,1,4,1,5
"Q9H4L7",1,-15.1466422518,-15.1520573541,NA,-14.2336542954,NA,-15.2965500411,-23.5858111094,-24.5230875481,NA,-23.1551040192,NA,-23.8432076194,1,1,NA,2,NA,1,1,0.9915,0.995,1,0.9646,0.9999,207.7526953572,117.0111664964,NA,299.4786867092,NA,207.2137872235,6,2,3,5,2,4,6,2,3,5,2,4
"Q9H4M3",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"Q9H4M9",1,-12.2045231679,-13.2099382702,-12.0180550233,-11.7065727108,-11.8560474777,-12.7694684564,-20.643600473,-21.802156977,-20.6938581557,-20.3599026912,-20.3917832454,-21.3371484513,4,2,5,6,5,3,1,1,1,1,1,1,831.0635184825,401.5160619721,975.3337632028,1081.9302408834,1020.2340103535,612.648712422,17,17,20,18,19,18,17,17,20,18,19,18
"Q9H501",1,-13.2918800571,-13.2972951595,-12.6903744133,-13.3788921008,-13.2653324619,-12.4417878464,-22.0913573394,-22.2079606011,-21.4029455016,-22.3455252162,-22.1340838369,-21.1645889551,3,3,5,3,3,6,1,1,1,1,1,1,485.5168179768,482.9833539394,950.7908659463,435.3671158973,485.9631747139,1100.386902634,11,13,17,9,11,15,11,13,17,9,11,15
"Q9H583",1,-13.0399914252,-13.4079766069,-13.1754513756,-13.2969284703,-13.8614407365,-12.6593844978,-21.8725667858,-22.4256833512,-22.0638515286,-22.1640719033,-22.8087166772,-21.615591835,9,7,9,8,5,13,1,1,1,1,1,1,1423.5149040334,1046.3724713943,1515.0525034622,1243.8663919425,767.0326671398,2028.0340319658,27,31,44,37,35,39,27,31,44,37,35,39
"Q9H596",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"Q9H5H4",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA
"Q9H5I1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2887,NA,NA,0.2556,NA,0.392,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,NA,NA,1,NA,1
"Q9H5I5",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA
"Q9H5N1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"Q9H5Q4",1,-13.7731838562,-13.7785989586,-13.9086438066,-13.8601958999,NA,-13.9230916456,-22.5609675546,-22.923137613,-22.4843194885,-22.422486872,NA,-22.5073251563,1,1,1,1,NA,1,1,0.9995,0.9999,0.9706,0.9868,1,163.1560351507,136.9014525373,209.0858391442,192.0673223199,NA,201.8864472892,3,6,5,2,4,6,3,6,5,2,4,6
"Q9H5V9",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4618,NA,0.8211,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,1,NA,2,NA
