"","protein_group","number_of_peptides_OEI06439","number_of_peptides_OEI06441","number_of_peptides_OEI06443","number_of_peptides_OEI06445","number_of_peptides_OEI06447","number_of_peptides_OEI06449","number_of_peptides_OEI06453","number_of_peptides_OEI06455","number_of_peptides_OEI06459","number_of_peptides_OEI06461","number_of_peptides_OEI06463","number_of_peptides_OEI06465","number_of_peptides_OEI06467","number_of_peptides_OEI06469","number_of_peptides_OEI06471","number_of_peptides_OEI06473","number_of_peptides_OEI06475","number_of_peptides_OEI06477","number_of_peptides_OEI06481","number_of_peptides_OEI06483","number_of_peptides_OEI06485","number_of_peptides_OEI06487","number_of_peptides_OEI06489","number_of_peptides_OEI06491","number_of_peptides_OEI06493","number_of_peptides_OEI06495","number_of_peptides_OEI06497","number_of_peptides_OEI06499","number_of_peptides_OEI06504","number_of_peptides_OEI06506","number_of_peptides_OEI06508","number_of_peptides_OEI06510","number_of_peptides_OEI06518","number_of_peptides_OEI06520","number_of_peptides_OEI06522","number_of_peptides_OEI06526","number_of_peptides_OEI06528","number_of_peptides_OEI06530","abundance_hcc_1","abundance_control_1","abundance_hcc_2","abundance_control_2","abundance_hcc_3","abundance_control_3","abundance_hcc_4","abundance_control_4","abundance_hcc_5","abundance_control_5","abundance_hcc_6","abundance_control_6","abundance_hcc_7","abundance_control_7","abundance_hcc_8","abundance_control_8","abundance_hcc_9","abundance_control_9","abundance_hcc_10","abundance_control_10","abundance_hcc_11","abundance_control_11","abundance_hcc_12","abundance_control_12","abundance_hcc_13","abundance_control_13","abundance_hcc_14","abundance_control_14","abundance_hcc_15","abundance_control_15","abundance_hcc_16","abundance_control_16","abundance_hcc_17","abundance_control_17","abundance_hcc_18","abundance_control_18","abundance_hcc_19","abundance_control_19","log_ratios_control..vs.hcc.","differential_abundance_qvalue_control..vs.hcc."
"2591","sp|P52926|HMGA2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0526670671267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2592","sp|Q9NVH6|TMLH_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1972854314672,NA,NA,NA,15.0644809073286,NA,15.783645158011,NA,16.6002358321416,NA,NA,14.8096927770713,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.456282695723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.518398977524,-0.000178475102670284,1
"2593","sp|Q9BTY7|HGH1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2343566005379,NA,NA,NA,15.6919185029318,NA,NA,NA,NA,NA,16.9543670703984,NA,17.3303878816356,NA,NA,NA,16.1822618493754,NA,15.562070962799,NA,NA,NA,NA,NA,NA,NA,NA,0.976583858301408
"2594","sp|Q8IVS2|FABD_HUMAN",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,17.2457337373788,14.6392304671626,NA,NA,NA,NA,NA,NA,NA,NA,16.467161644207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.1542473248438,NA,-1.64981710164727,0.324185880076084
"2595","sp|Q8N3U4|STAG2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6330017269585,NA,15.8816667699186,NA,NA,NA,NA,NA,NA,15.4690480967888,NA,NA,NA,14.9716104602557,NA,NA,NA,NA,NA,NA,NA,NA,14.9155447086985,NA,NA,NA,NA,NA,NA,14.2760160536445,NA,NA,NA,NA,NA,0.571179531628866,0.607854927205618
"2596","sp|P35813|PPM1A_HUMAN",1,1,2,1,1,NA,NA,1,NA,NA,NA,1,NA,1,1,NA,2,NA,NA,NA,1,2,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,16.9565504027961,16.8952669964441,18.5601225502657,17.5411203675786,17.4083032838173,16.6218642900974,NA,15.1931622540123,NA,NA,NA,17.5704908741723,NA,18.1633132247833,17.7075014962776,16.0692080672314,17.2981087612955,15.8250569084505,15.1819966107546,NA,16.9810899389815,17.3706523333094,15.34334362305,16.2417558492433,NA,16.3110821846654,NA,18.267278924917,17.4065494914516,NA,NA,NA,NA,16.2563058209237,16.1989218961297,NA,NA,16.026526252176,-0.164742780624481,1
"2597","sp|P03886|NU1M_HUMAN",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,16.8817564948007,NA,NA,NA,NA,NA,15.3035977602683,NA,15.1292950930248,NA,NA,NA,15.1108939235577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8797488360772,NA,NA,1
"2598","sp|O00401|WASL_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2599","sp|Q92769|HDAC2_HUMAN",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,18.4164031104476,NA,17.428265698867,16.9750401881643,19.2492794295942,16.2491236401556,NA,NA,NA,NA,NA,NA,17.2762070270132,16.1448559705823,16.7635307487122,NA,16.6423481800778,NA,18.4874552675043,17.7051613558535,17.6879182188031,16.0376357469818,16.7872401691198,NA,17.0361095271317,16.6736926407579,NA,NA,16.9555760138252,15.6806100612261,15.7544997466394,NA,16.8112334377587,NA,17.5067719869488,NA,17.882968488246,NA,-0.883893859990482,0.0732158832413883
"2600","sp|P51809|VAMP7_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,16.125041084084,NA,16.4076972951473,17.5709960551647,NA,NA,14.8675162087756,NA,16.1783662684383,16.2322232251345,16.5165218367675,16.7650633154835,15.6961970865286,NA,16.6901847641001,16.221494797609,15.8366308085896,16.5604925608517,NA,NA,15.0766999597411,15.153860344744,15.873377782394,16.8737191336872,NA,NA,NA,NA,NA,NA,NA,15.3379354366842,NA,NA,NA,17.7115583587132,15.6176585798823,-0.593209600391479,0.301967079431932
"2601","sp|P54802|ANAG_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2602","sp|O00478|BT3A3_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2603","sp|O75970|MPDZ_HUMAN",NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,17.0629193011209,16.729849730914,NA,NA,16.5019312368473,NA,NA,NA,NA,15.7165507525718,NA,16.2538770238955,NA,16.8564307568293,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.4119007053338,NA,15.9191477800642,NA,NA,15.0015762058001,NA,NA,15.5544008885962,16.2200757819915,NA,NA,NA,0.0093968883035929,1
"2604","sp|Q14964|RB39A_HUMAN",1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22.4384015151372,19.7321895899135,21.4654797171108,21.0348518450436,23.1132722503092,20.1587562143494,21.2198633384741,19.4847042994842,19.622814273596,18.7438373909889,21.2701658404242,18.6074612615707,21.1685419039071,19.4974463415707,20.4516294387769,18.7765428792806,20.6159929193228,18.0002252934392,21.6006988830495,20.9010101206976,20.6426611216076,20.2580568834071,19.9508530059757,19.7120699734256,21.0999152008017,20.6468629983056,19.8009041486722,20.6697911091685,21.0540348901449,19.1559568270462,19.4753748536738,18.719305455511,20.2745723804463,19.852231167442,19.5632457358798,18.7633066891021,20.9433150120607,20.1860861220972,-1.20373915618562,0.00398841498528551
"2605","sp|Q07075|AMPE_HUMAN",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9480402997251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6268758524933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2606","sp|Q13547|HDAC1_HUMAN",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,18.4164031104476,NA,17.428265698867,16.9750401881643,19.2492794295942,16.2491236401556,NA,NA,NA,NA,NA,NA,17.2762070270132,16.1448559705823,16.7635307487122,NA,16.6423481800778,NA,19.0920444732342,17.7051613558535,17.6879182188031,16.0376357469818,16.7872401691198,NA,17.0361095271317,16.6736926407579,NA,NA,16.9555760138252,15.6806100612261,15.7544997466394,NA,16.8112334377587,NA,17.5067719869488,NA,17.882968488246,NA,-0.924199807039142,0.0732158832413883
"2607","sp|P35475|IDUA_HUMAN",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,15.2948242596386,16.6617001723242,18.3080469131325,16.5027911003029,17.5753791830656,14.3490634810051,17.2872651649473,14.8060964430782,15.9511310105748,16.6306128241064,16.5244149961844,15.2816029935008,17.2425251939764,15.912402868446,16.0428719376579,16.2137717825998,16.1984816839063,15.2874533925448,NA,NA,NA,NA,16.4198055010644,NA,16.9421122879537,15.4820122261011,17.3606543919837,16.6195697674162,15.2440750144648,NA,NA,NA,15.2412454562531,NA,15.4152149194302,15.888598192164,NA,15.5106655911013,-0.689382104434237,0.169141952756125
"2608","sp|Q8IVH4|MMAA_HUMAN",NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,NA,15.8499391706729,16.790647075622,15.8513679220774,NA,14.7258753294909,NA,NA,NA,NA,NA,NA,16.123026917741,15.201556523733,15.9772280399328,15.8718198301253,15.3577997403789,16.2392362065036,NA,16.1224175284994,NA,15.1947964756756,NA,NA,NA,15.9141209097601,15.7717048156917,NA,NA,14.5274238570171,15.0260980406657,16.3510356640743,NA,16.2558025784847,NA,15.247187660783,NA,NA,-0.198577977551712,0.830647910483677
"2609","sp|O95721|SNP29_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2610","sp|O95396|MOCS3_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2611","sp|Q9Y241|HIG1A_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2612","sp|Q9P265|DIP2B_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0535339391207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9302452998312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2613","sp|Q8TD22|SFXN5_HUMAN",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,16.6011795533877,16.9577394977163,NA,15.3329659142519,NA,NA,17.5523057816159,15.4149857659699,16.8471799640847,16.513167635029,NA,15.992002501959,NA,NA,NA,15.1628790685772,NA,16.9397563036275,NA,15.7342277418433,NA,NA,NA,16.6468749400321,16.4041463413545,NA,14.5795369217331,NA,NA,NA,NA,NA,NA,NA,NA,16.3276954329491,-0.29464023223965,0.893979750887893
"2614","sp|Q13642|FHL1_HUMAN",1,2,NA,2,1,2,1,1,NA,1,1,2,NA,NA,NA,1,1,1,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,1,1,NA,1,1,19.8389919019284,19.9518296643134,NA,18.547495783965,19.9007920144571,18.9299518453439,19.3910173742917,17.2558443376953,16.4132666150703,17.8672133323189,18.4853907005337,19.0844913156228,15.0523731821168,17.9927119018161,17.5745547248232,18.6873887042155,16.8092667151064,16.8272927062828,NA,18.1850429465419,16.0537598280227,19.2591784742162,15.4670638646582,16.7254330970988,NA,16.6780538812182,17.1650137424761,18.7561722737338,16.9325128215447,16.5376690206603,15.1410980947636,16.8213731499946,20.1786657627071,17.0074932590628,16.8528130561618,15.742496024788,18.6008144626609,18.3768192106983,0.363331291145574,0.565638805183055
"2615","sp|Q8IU85|KCC1D_HUMAN",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2768328534367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2616","sp|P21926|CD9_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,16.8283042383287,NA,NA,NA,NA,NA,NA,NA,14.688296212336,15.5499151927403,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6310320739413,NA,NA,NA,NA,NA,NA,14.7401438742995,NA,14.6863768685618,NA,NA,NA,19.5448227455019,NA,-1.00711515446478,0.737644255739548
"2617","sp|Q99956|DUS9_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1397072202712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2618","sp|O95197|RTN3_HUMAN",1,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3321570360672,16.3117850274944,17.6264127555708,16.6403076459925,18.6663295653763,15.7334605325011,17.6018876283971,NA,14.4954084866341,NA,17.1835502887979,15.5568254407158,17.2195815757498,17.0516506858866,17.6985119880363,16.2370028274107,17.0008809425692,NA,17.4968018281992,NA,15.863230691082,15.3687103832795,16.8902668899082,15.0603814054204,16.1963060808839,NA,17.0265437583723,16.0616631451505,17.3677612881665,15.6088355146188,15.6521593059245,NA,15.2335185707302,NA,13.6783679600656,NA,15.0754674501064,15.4820645529615,-0.675672387223963,0.110680344503294
"2619","sp|P11802|CDK4_HUMAN",1,NA,NA,1,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,18.269955192562,17.0030728207008,15.5834909364957,15.9980200434895,18.2138870938858,NA,17.4715003436945,15.268900144214,NA,NA,NA,15.8926566492203,16.1281228395252,NA,NA,16.4810856318112,16.1451948125305,14.9340930377292,17.7511623356285,16.7057522470152,16.9867799973161,NA,15.8374125968377,NA,16.3904428957751,NA,15.7146184877003,NA,17.3540217041684,13.9455142501756,15.5529269129919,16.6223829044623,16.623590041664,14.71968400414,16.1389774936206,15.1479791797601,17.4387041500609,NA,-1.02330915667919,0.0546441317547396
"2620","sp|P62273|RS29_HUMAN",2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,NA,1,2,2,1,2,1,1,1,1,1,2,1,2,1,19.0702556141926,17.0456933344445,18.8141975340013,18.1751835969541,19.5902232530438,17.3358063292493,18.831577859834,16.7999691058976,17.1895355161451,17.0484800623849,17.6894904117645,17.4882732293894,17.578565517453,16.9920305039174,17.4110318472413,17.8937735105572,17.8077782163775,16.787227923387,18.5156588030535,18.5601368836913,17.3506847405028,16.9685437287232,17.4879939430147,16.4468518119226,17.7971150928186,17.5454333803202,17.7987940122378,16.6130831063985,17.7083803784252,16.218792139164,16.3247666630721,17.3256005104478,17.2064704035575,16.9718929816929,17.5152690256553,16.868353675029,18.0256035803696,17.2428473462914,-0.704495750152521,0.0361853052084698
"2621","sp|P57088|TMM33_HUMAN",1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.226895036232,NA,17.1443279392155,16.177523290257,18.1264263998056,15.5408608873178,16.4060064816538,14.8513230204684,NA,NA,16.0429170260282,NA,15.673064169882,15.9537428973151,NA,NA,15.9142321180096,NA,16.1675882797256,NA,NA,NA,NA,14.5856972802859,NA,15.5130740042706,NA,16.2263303388987,16.0866784195215,NA,NA,NA,NA,NA,NA,NA,NA,15.5213243874779,-1.09689169449955,0.0817015009123901
"2622","sp|Q6P4A8|PLBL1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3578265386465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2623","sp|P61011|SRP54_HUMAN",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,15.665563541225,15.8944177748412,NA,NA,NA,NA,NA,NA,NA,14.3410531384234,NA,NA,16.6387225408295,15.1875036348296,16.0581651131855,NA,16.1359372940521,NA,NA,NA,16.273651016563,NA,15.8549849840633,NA,16.0298035538106,NA,16.0397550763999,NA,15.7295251554677,14.6679198370387,NA,NA,NA,NA,NA,NA,16.9159491503463,NA,-1.11148214631107,0.0768609168609169
"2624","sp|Q14C86|GAPD1_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9843886397097,NA,NA,NA,NA,NA,NA,NA,15.9452892797589,16.0352858243771,NA,NA,NA,NA,NA,NA,NA,15.5467039845665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.3586498274202,NA,NA,NA,NA,16.3349830736441,NA,0.790451621433699,0.513689359421067
"2625","sp|P01700|LV147_HUMAN",NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,1,1,1,2,NA,1,NA,1,NA,1,1,1,NA,1,NA,2,NA,NA,2,NA,1,NA,2,2,19.2077351252502,18.7510642730186,19.2681888856946,18.4625302302941,19.3871706564466,17.9761487406276,18.5902487324121,16.529696215447,20.4607683362765,18.1736193648908,18.5221660284616,18.4464015942939,17.8101481549545,18.5268120438616,18.8094378395749,19.3087992211113,17.4422715294434,18.1444566043034,18.2637003065414,18.5028174724335,19.2220550443096,18.2333281351339,17.654546878161,18.0989889825187,19.0901154959352,18.4607108524021,18.7102856923081,18.6101580566297,17.9259181970105,17.4896071567487,18.6337427045196,18.3610685884039,19.7493306626701,18.1645063460775,19.2439573973384,15.19252052961,18.7763656551521,18.8769810235539,-0.655680941636853,0.101660987777081
"2626","sp|O00339|MATN2_HUMAN",NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,17.7484125529029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2741042456148,NA,NA,1
"2627","sp|Q12768|WASC5_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2628","sp|P51151|RAB9A_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2629","sp|P17301|ITA2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2630","sp|P16422|EPCAM_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8455063448775,NA,16.3325098725066,NA,NA,NA,NA,NA,16.4025780976252,NA,16.3580761165518,15.6125126162617,NA,NA,NA,NA,15.711040981696,NA,18.9289878201426,NA,NA,NA,15.2330665026732,NA,18.0583576155818,NA,NA,NA,NA,NA,NA,NA,15.8617620417469,NA,NA,NA,NA,NA,-1.0243635385607,0.347936044296944
"2631","sp|Q9UK22|FBX2_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3895610982514,NA,NA,NA,NA,1
"2632","sp|Q9UHN6|CEIP2_HUMAN",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8355386274727,NA,19.0548660932097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1703675572796,NA,16.9189438090956,NA,17.0666821657925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
